Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-42119400027,2021-11-21,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,27048,6,189.0,4.5
INV-42141900026,2021-11-21,HY-VEE FOOD STORE #1 / MASON CITY,50401,MCCORMICK DISTILLING CO.,36903,48,81.6,9.6
INV-41878700034,2021-11-14,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,33937,24,270.0,24.0
INV-42095100136,2021-11-20,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PERNOD RICARD USA,5153,4,125.88,3.0
INV-42121700063,2021-11-21,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,28890,2,39.04,1.5
INV-42119400001,2021-11-21,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,19477,,2430.0,72.0
INV-41555100170,2021-11-05,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DUNKEL CORPORATION / IOWA DISTILLING,27629,3,40.92,2.25
INV-41526200081,2021-11-04,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,11786,12,94.2,9.0
INV-41510600001,2021-11-04,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,67595,6,126.0,4.5
INV-41557900104,2021-11-05,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,LUXCO INC,45278,6,67.5,10.5
INV-41555100151,2021-11-05,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,HEAVEN HILL BRANDS,17919,3,135.0,5.25
INV-41557800010,2021-11-05,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PERNOD RICARD USA,21184,6,359.82,4.5
INV-42142000102,2021-11-21,HY-VEE FOOD STORE #1 / MASON CITY,50401,RUSSIAN STANDARD VODKA,101476,3,45.0,2.25
INV-41526200128,2021-11-04,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,69636,12,155.88,9.0
INV-42121700185,2021-11-21,HY-VEE FOOD STORE / CEDAR FALLS,50613,campari america,65126,12,405.0,9.0
INV-41514500060,2021-11-04,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,37991,1,11.21,0.05
INV-42153200006,2021-11-22,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,76487,2,12.16,2.0
INV-42214700100,2021-11-25,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,73526,12,117.0,9.0
INV-42266100146,2021-11-26,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,BACARDI USA INC,56856,6,85.8,10.5
INV-42217300063,2021-11-25,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,11298,6,296.94,10.5
INV-42268400232,2021-11-26,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,MHW LTD,80015,,47.22,2.25
INV-42119400026,2021-11-21,HY-VEE #3 / BDI / DES MOINES,50320,infinium spirits,27102,30,814.2,22.5
INV-42220200010,2021-11-25,HY-VEE FOOD STORE / CORALVILLE,52241,FIFTH GENERATION INC,38194,5,96.0,0.25
INV-42220800028,2021-11-25,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,BROWN FORMAN CORP.,22214,12,203.04,4.5
INV-42268400194,2021-11-26,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,28886,4,107.52,3.0
INV-42214700149,2021-11-25,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,43127,60,855.0,60.0
INV-42268400051,2021-11-26,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PERNOD RICARD USA,4084,6,251.82,4.5
INV-42226900111,2021-11-25,HY-VEE #4 / WDM,50265,MCCORMICK DISTILLING CO.,36908,6,67.26,10.5
INV-42220900048,2021-11-25,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,HEAVEN HILL BRANDS,41320,12,81.0,9.0
INV-42336300099,2021-11-27,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,HEAVEN HILL BRANDS,11788,12,188.16,21.0
