Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-37117600181,2021-06-05,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PROXIMO,26665,3,61.89,2.25
INV-37453100116,2021-06-17,HY-VEE #3 / BDI / DES MOINES,50320,infinium spirits,89242,12,288.0,9.0
INV-37058700108,2021-06-04,HY-VEE FOOD STORE / CORALVILLE,52241,CONSTELLATION BRANDS INC,34820,12,148.56,9.0
INV-37058700146,2021-06-04,HY-VEE FOOD STORE / CORALVILLE,52241,SAZERAC NORTH AMERICA,21597,12,88.92,12.0
INV-37521100069,2021-06-18,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,41846,12,144.0,9.0
INV-37561900249,2021-06-19,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SAZERAC NORTH AMERICA,35317,24,143.04,24.0
INV-37100400190,2021-06-05,HY-VEE FOOD STORE #2 / STATE ANKENY,50023a,BROWN FORMAN CORP.,74801,12,280.32,9.0
INV-37059400022,2021-06-04,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,25608,18,349.92,31.5
INV-37586200073,2021-06-20,HY-VEE FOOD STORE / CEDAR FALLS,50613,jem beverage company,39825,3,40.56,2.25
INV-37100400037,2021-06-05,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,CHATHAM IMPORTS INC,19880,6,206.28,4.5
INV-37117600061,2021-06-05,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,MISSISSIPPI RIVER DISTIL,27479,12,345.12,9.0
INV-37117600153,2021-06-05,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,MOET HENNESSY USA,5133,30,944.7,22.5
INV-37065300087,2021-06-04,HY-VEE #4 / WDM,50265,PERNOD RICARD USA,5038,1,67.46,1.75
INV-37117600119,2021-06-05,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LAIRD & COMPANY,23828,6,68.58,10.5
INV-37059300019,2021-06-04,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,MCCORMICK DISTILLING CO.,36908,12,134.52,21.0
INV-37586000018,2021-06-20,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,69609,1,7.5,0.05
INV-37059300032,2021-06-04,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PROXIMO,58872,12,157.32,21.0
INV-37058700024,2021-06-04,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,5696,4,240.0,3.0
INV-37100400020,2021-06-05,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,HEAVEN HILL BRANDS,11786,12,94.2,9.0
INV-37058700032,2021-06-04,HY-VEE FOOD STORE / CORALVILLE,52241,PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO,75198,6,90.0,4.5
INV-37100300029,2021-06-05,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PHILLIPS BEVERAGE,14490,,150.12,9.0
INV-37157500016,2021-06-06,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,17916,6,144.0,4.5
