Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-35995200050,2021-04-24,HY-VEE #7 / CEDAR RAPIDS,52411,jem beverage company,39619,,40.56,2.25
INV-35800000075,2021-04-17,HY-VEE FOOD STORE / CORALVILLE,52241,PHILLIPS BEVERAGE,41989,12,126.0,9.0
INV-35497000048,2021-04-04,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,17830,2,39.66,3.5
INV-35483400035,2021-04-04,HY-VEE #7 / CEDAR RAPIDS,52411,pernod ricard usa,32231,,9.9,0.1
INV-35483400092,2021-04-04,HY-VEE #7 / CEDAR RAPIDS,52411,e & j gallo winery,52597,3,32.58,3.0
INV-35909600003,2021-04-22,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,11347,,119.4,12.0
INV-35484100099,2021-04-04,HY-VEE FOOD STORE / CEDAR FALLS,50613,bacardi usa inc,43120,6,135.0,10.5
INV-35958000015,2021-04-23,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,38088,18,254.88,31.5
INV-35482500017,2021-04-04,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,19067,48,906.72,48.0
INV-36010200121,2021-04-24,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,44419,12,126.0,9.0
INV-35483400033,2021-04-04,HY-VEE #7 / CEDAR RAPIDS,52411,luxco inc,29728,6,58.5,10.5
INV-35995200058,2021-04-24,HY-VEE #7 / CEDAR RAPIDS,52411,pernod ricard usa,42699,3,33.72,2.25
INV-35950300125,2021-04-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PROXIMO,59154,6,90.36,10.5
INV-35765000134,2021-04-16,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,64816,4,81.44,3.0
INV-35765000114,2021-04-16,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,CAMPARI AMERICA,87250,2,57.0,1.5
INV-35807600052,2021-04-17,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,63263,60,142.2,6.0
INV-35765000048,2021-04-16,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,64866,12,162.0,9.0
INV-35925700040,2021-04-22,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,GEMINI SPIRITS,62400,,63.18,10.5
INV-35765000060,2021-04-16,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,100413,1,77.4,0.05
INV-35807600034,2021-04-17,HY-VEE #7 / CEDAR RAPIDS,52411,jem beverage company,39839,4,54.08,3.0
INV-35958000131,2021-04-23,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,89836,60,1215.0,45.0
INV-35958000136,2021-04-23,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC NORTH AMERICA,57161,6,58.5,10.5
INV-35484100138,2021-04-04,HY-VEE FOOD STORE / CEDAR FALLS,50613,campari america,64636,4,99.0,3.0
INV-35958000209,2021-04-23,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,68011,3,74.22,2.25
INV-35482500186,2021-04-04,HY-VEE #3 / BDI / DES MOINES,50320,mhw ltd,965218,60,900.0,45.0
INV-35958000085,2021-04-23,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,25606,,135.0,9.0
INV-36047100098,2021-04-25,HY-VEE FOOD STORE #1 / MASON CITY,50401,OZ SPIRITS LLC,36447,1,18.81,0.75
INV-35483900010,2021-04-04,HY-VEE FOOD STORE / CEDAR FALLS,50613,mccormick distilling co.,65204,,6.45,0.05
INV-35497000041,2021-04-04,HY-VEE FOOD STORE #1 / MASON CITY,50401,CAMPARI AMERICA,22157,1,24.99,1.0
INV-35497000040,2021-04-04,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,18096,2,32.98,1.5
INV-35497000025,2021-04-04,HY-VEE FOOD STORE #1 / MASON CITY,50401,PERNOD RICARD USA,5036,2,77.94,1.5
INV-35496900020,2021-04-04,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,45278,12,135.0,21.0
INV-35510500005,2021-04-05,HY-VEE #3 / BDI / DES MOINES,50320,heaven hill brands,27016,24,450.0,18.0
INV-35510500002,2021-04-05,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,75183,12,204.0,9.0
INV-36106900106,2021-04-29,HY-VEE #4 / WDM,50265,E & J GALLO WINERY,73063,,78.0,3.0
INV-36146200195,2021-04-30,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,69636,4,51.96,3.0
INV-35484100123,2021-04-04,HY-VEE FOOD STORE / CEDAR FALLS,50613,bacardi usa inc,57184,2,28.6,3.5
INV-36102900042,2021-04-29,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,37993,6,22.86,1.2
INV-36102000066,2021-04-29,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,77956,24,297.12,18.0
INV-35552900105,2021-04-08,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO,15248,120,1710.0,210.0
INV-35549900023,2021-04-08,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,43334,24,180.0,9.0
INV-36102000062,2021-04-29,HY-VEE FOOD STORE / CORALVILLE,52241,LUXCO INC,76680,12,126.0,9.0
INV-35552900165,2021-04-08,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,BACARDI USA INC,34423,6,83.28,2.25
INV-35592800215,2021-04-09,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,MISSISSIPPI RIVER DISTIL,27027,6,172.56,4.5
INV-36100000119,2021-04-29,HY-VEE #3 / BDI / DES MOINES,50320,e & j gallo winery,73053,6,153.0,6.0
INV-35589300005,2021-04-09,HY-VEE #3 / BDI / DES MOINES,50320,revelton distilling company,31985,6,135.0,4.5
INV-35592800273,2021-04-09,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,E & J GALLO WINERY,52598,2,39.0,3.5
INV-35482500046,2021-04-04,HY-VEE #3 / BDI / DES MOINES,50320,constellation brands inc,34819,,144.0,12.0
INV-36100000013,2021-04-29,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,17088,18,742.5,31.5
INV-36047000007,2021-04-25,HY-VEE FOOD STORE #1 / MASON CITY,50401,E & J GALLO WINERY,39422,,83.04,0.6
INV-35592800126,2021-04-09,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,24458,30,495.0,52.5
INV-36100000070,2021-04-29,HY-VEE #3 / BDI / DES MOINES,50320,infinium spirits,42983,6,125.82,4.5
INV-35545700044,2021-04-08,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,42599,6,165.06,4.5
INV-36106900037,2021-04-29,HY-VEE #4 / WDM,50265,JIM BEAM BRANDS,63355,12,113.28,9.0
INV-36047300004,2021-04-25,HY-VEE FOOD STORE #1 / MASON CITY,50401,CAMPARI AMERICA,22156,3,63.0,2.25
INV-35497100005,2021-04-04,HY-VEE FOOD STORE #1 / MASON CITY,50401,MISSISSIPPI RIVER DISTIL,28131,1,24.0,0.75
INV-36140300069,2021-04-30,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,28867,3,69.75,3.0
INV-35552300141,2021-04-08,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,87485,6,265.5,4.5
INV-36102000012,2021-04-29,HY-VEE FOOD STORE / CORALVILLE,52241,LUXCO INC,87646,4,66.0,3.0
INV-36027100188,2021-04-25,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,69636,12,155.88,9.0
INV-35545700066,2021-04-08,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,64914,12,296.88,9.0
