Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-33571000028,2021-01-22,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,36978,6,62.28,10.5
INV-33174600131,2021-01-07,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,12888,6,80.82,10.5
INV-33570100156,2021-01-22,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,72927,1,7.2,0.05
INV-33570100167,2021-01-22,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,LUXCO INC,76669,12,126.0,9.0
INV-33524500054,2021-01-21,HY-VEE FOOD STORE / CORALVILLE,52241,PROXIMO,34935,24,358.56,18.0
INV-33181100104,2021-01-07,HY-VEE FOOD STORE / CORALVILLE,52241,EDRINGTON GROUP USA LLC,5486,12,720.24,9.0
INV-33205500172,2021-01-08,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PROXIMO,89206,2,46.38,1.5
INV-33522600036,2021-01-21,HY-VEE #3 / BDI / DES MOINES,50320,heaven hill brands,40152,2,25.5,1.5
INV-33571000230,2021-01-22,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,HEAVEN HILL BRANDS,86455,12,94.2,9.0
INV-33264800154,2021-01-10,HY-VEE #3 / BDI / DES MOINES,50320,constellation brands inc,87266,6,234.36,4.5
INV-33169200112,2021-01-07,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,82847,36,425.16,36.0
INV-33205500100,2021-01-08,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,REMY COINTREAU USA INC,49086,4,176.84,3.0
INV-33264800036,2021-01-10,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,25607,48,576.0,48.0
INV-33205500147,2021-01-08,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,JIM BEAM BRANDS,82836,,9.75,0.75
INV-33169200003,2021-01-07,HY-VEE #3 / BDI / DES MOINES,50320,brown forman corp.,12467,3,32.49,3.0
INV-33205500093,2021-01-08,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,BACARDI USA INC,43127,3,42.75,3.0
INV-33170300080,2021-01-07,HY-VEE #7 / CEDAR RAPIDS,52411,remy cointreau usa inc,50686,6,65.16,4.5
INV-33259400013,2021-01-09,HY-VEE FOOD STORE / CORALVILLE,52241,JIM BEAM BRANDS,19063,5,26.25,1.0
INV-33264800084,2021-01-10,HY-VEE #3 / BDI / DES MOINES,50320,sazerac north america,44217,,216.0,36.0
INV-33181800050,2021-01-07,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,77698,12,148.56,9.0
INV-33264800092,2021-01-10,HY-VEE #3 / BDI / DES MOINES,50320,william grant & sons inc,45887,12,212.04,12.0
INV-33252000077,2021-01-09,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,BACARDI USA INC,34422,6,204.78,6.0
INV-33205500133,2021-01-08,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,69945,1,10.89,0.37
INV-33284600050,2021-01-10,HY-VEE FOOD STORE #1 / MASON CITY,50401,PROXIMO,28246,1,17.55,0.75
INV-33252000146,2021-01-09,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,E & J GALLO WINERY,40191,4,11.96,0.8
