Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-39729500051,2021-09-01,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,8828,6,100.62,10.5
INV-39871800020,2021-09-08,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,45275,12,72.0,9.0
INV-39833500005,2021-09-07,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,31657,36,232.2,36.0
INV-40054500058,2021-09-14,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PROXIMO,27605,12,247.56,9.0
INV-40043200004,2021-09-13,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,5430,4,300.0,3.0
INV-40316900034,2021-09-22,HY-VEE FOOD STORE / CORALVILLE,52241,E & J GALLO WINERY,73054,,225.0,10.5
INV-40313800012,2021-09-22,HY-VEE #7 / CEDAR RAPIDS,52411,luxco inc,82127,12,90.0,12.0
INV-40054500167,2021-09-14,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,"MAST-JAGERMEISTER US, INC",88371,6,134.46,4.5
INV-40056200081,2021-09-14,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,27780,12,97.2,0.6
INV-40054500035,2021-09-14,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PERNOD RICARD USA,15644,,21.3,0.75
INV-39760500142,2021-09-02,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,87288,6,300.0,4.5
INV-40043500042,2021-09-13,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,E & J GALLO WINERY,39725,12,135.0,9.0
INV-40010600098,2021-09-13,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,57051,12,73.8,12.0
INV-39730200032,2021-09-01,HY-VEE FOOD STORE / CORALVILLE,52241,PHILLIPS BEVERAGE,995530,4,30.92,3.0
INV-39749600010,2021-09-01,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,77843,12,166.56,12.0
INV-39732600043,2021-09-01,HY-VEE #7 / CEDAR RAPIDS,52411,stoli group,34786,36,539.64,27.0
INV-40045100046,2021-09-13,HY-VEE #7 / CEDAR RAPIDS,52411,jdso inc / red boot distillery,36875,6,64.98,10.5
INV-39757800007,2021-09-02,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,8827,4,36.84,4.0
INV-40139900127,2021-09-16,HY-VEE FOOD STORE / CEDAR FALLS,50613,heaven hill brands,43025,4,36.0,3.0
INV-39777300039,2021-09-02,HY-VEE FOOD STORE #1 / MASON CITY,50401,PROXIMO,59154,6,90.36,10.5
INV-39732600002,2021-09-01,HY-VEE #7 / CEDAR RAPIDS,52411,pernod ricard usa,5061,3,164.16,2.25
INV-39753500048,2021-09-01,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,43337,24,423.12,24.0
INV-39736800070,2021-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,5404,3,121.5,2.25
INV-40054500172,2021-09-14,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PROXIMO,89191,2,34.5,0.1
INV-40019200058,2021-09-13,HY-VEE #4 / WDM,50265,PROXIMO,87401,2,34.5,0.1
INV-40056200107,2021-09-14,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,STOLI GROUP,34748,6,179.94,10.5
INV-40045100071,2021-09-13,HY-VEE #7 / CEDAR RAPIDS,52411,remy cointreau usa inc,49185,3,56.34,1.12
INV-39753500206,2021-09-01,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,24454,10,47.3,3.75
INV-39732600011,2021-09-01,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,15818,3,45.0,2.25
INV-39760500159,2021-09-02,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,34433,72,1997.28,54.0
INV-39753500086,2021-09-01,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,22788,,72.0,10.5
INV-40019200048,2021-09-13,HY-VEE #4 / WDM,50265,PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO,75212,6,43.56,0.3
INV-40139900192,2021-09-16,HY-VEE FOOD STORE / CEDAR FALLS,50613,prestige wine & spirits group / united states distilled products co,77324,6,94.5,10.5
INV-39777400033,2021-09-02,HY-VEE FOOD STORE #1 / MASON CITY,50401,PROXIMO,14210,1,29.7,0.75
INV-40045100010,2021-09-13,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,12476,1,7.85,0.75
INV-39760500136,2021-09-02,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,82787,12,141.72,12.0
INV-40010600018,2021-09-13,HY-VEE #3 / BDI / DES MOINES,50320,revelton distilling company,26291,6,153.0,4.5
INV-40010600027,2021-09-13,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,28704,8,239.92,6.0
INV-39729500076,2021-09-01,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,21598,6,83.16,10.5
INV-39760500171,2021-09-02,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,10807,144,3584.16,108.0
INV-40133800040,2021-09-16,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,39866,12,171.0,9.0
INV-40043200026,2021-09-13,HY-VEE FOOD STORE / CORALVILLE,52241,SAZERAC COMPANY  INC,64904,78,1794.0,136.5
INV-39757600005,2021-09-02,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,27780,1,8.1,0.05
INV-40056200236,2021-09-14,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,53214,6,28.98,2.25
INV-39729500002,2021-09-01,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,10807,12,298.68,9.0
INV-39753500082,2021-09-01,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PHILLIPS BEVERAGE,14519,,162.36,9.0
INV-39736800073,2021-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,11346,12,94.2,9.0
