Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-42599000040,2021-12-09,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,35317,12,71.52,12.0
INV-42525800120,2021-12-05,HY-VEE #3 / BDI / DES MOINES,50320,"mast-jagermeister us, inc",65368,6,117.0,4.5
INV-42602600089,2021-12-09,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,64904,12,276.0,21.0
INV-42536400010,2021-12-05,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,25608,12,233.28,21.0
INV-42487200041,2021-12-04,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,25608,6,116.64,10.5
INV-42596700015,2021-12-09,HY-VEE #3 / BDI / DES MOINES,50320,dehner distillery,30305,12,63.0,12.0
INV-42823300064,2021-12-16,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,40053,3,38.25,2.25
INV-42607200022,2021-12-09,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,10789,5,35.4,1.0
INV-42536200007,2021-12-05,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,16466,1,30.0,0.75
INV-42823300081,2021-12-16,HY-VEE #7 / CEDAR RAPIDS,52411,e & j gallo winery,52596,3,29.25,2.25
INV-42524400164,2021-12-05,HY-VEE FOOD STORE / CEDAR FALLS,50613,william grant & sons inc,45886,4,60.0,3.0
INV-42828100080,2021-12-16,HY-VEE #4 / WDM,50265,PHILLIPS BEVERAGE,37523,6,99.0,4.5
INV-42820100109,2021-12-16,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,89447,144,1585.44,144.0
INV-42506000042,2021-12-04,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,86490,6,315.0,4.5
INV-42607200082,2021-12-09,HY-VEE FOOD STORE / CORALVILLE,52241,WILLIAM GRANT & SONS INC,15940,12,279.0,9.0
INV-42495200100,2021-12-04,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,63321,12,117.0,4.5
INV-42832700052,2021-12-16,HY-VEE FOOD STORE / CORALVILLE,52241,SAZERAC COMPANY  INC,57120,6,51.78,10.5
INV-42525800163,2021-12-05,HY-VEE #3 / BDI / DES MOINES,50320,ole smoky distillery llc,86843,18,270.0,13.5
INV-42881400222,2021-12-17,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,36034,3,31.5,2.25
INV-42536800011,2021-12-05,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,25616,1,11.25,0.75
INV-42828100125,2021-12-16,HY-VEE #4 / WDM,50265,JIM BEAM BRANDS,82606,6,58.5,4.5
INV-42982500135,2021-12-19,HY-VEE FOOD STORE #1 / MASON CITY,50401,JIM BEAM BRANDS,19063,3,16.35,0.6
INV-42607200076,2021-12-09,HY-VEE FOOD STORE / CORALVILLE,52241,HEAVEN HILL BRANDS,16096,24,360.0,18.0
INV-42938100136,2021-12-18,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PHILLIPS BEVERAGE,41693,12,126.0,9.0
INV-42927600032,2021-12-18,HY-VEE #4 / WDM,50265,BACARDI USA INC,43036,12,148.68,9.0
INV-42602600006,2021-12-09,HY-VEE #4 / WDM,50265,INFINIUM SPIRITS,36390,2,89.98,1.5
INV-42872100007,2021-12-17,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,E & J GALLO WINERY,36965,10,83.1,0.5
INV-42487200002,2021-12-04,HY-VEE FOOD STORE / CORALVILLE,52241,HOTALING & CO,67610,3,85.5,2.25
INV-42938200010,2021-12-18,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,E & J GALLO WINERY,101163,12,243.0,11.4
INV-42928900071,2021-12-18,HY-VEE #7 / CEDAR RAPIDS,52411,serralles usa,43426,,33.75,2.25
INV-42602600086,2021-12-09,HY-VEE #4 / WDM,50265,S&B FARMS DISTILLERY,77055,6,117.12,4.5
INV-42607200075,2021-12-09,HY-VEE FOOD STORE / CORALVILLE,52241,HEAVEN HILL BRANDS,17958,6,144.0,10.5
INV-42536500036,2021-12-05,HY-VEE FOOD STORE #1 / MASON CITY,50401,BROWN FORMAN CORP.,22207,2,119.28,3.5
INV-42489700005,2021-12-04,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,87937,48,564.0,48.0
INV-42927600118,2021-12-18,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,84152,10,77.4,0.5
INV-42872100035,2021-12-17,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,JIM BEAM BRANDS,88566,6,171.0,4.5
INV-42927600031,2021-12-18,HY-VEE #4 / WDM,50265,BACARDI USA INC,43208,6,134.94,10.5
INV-42928900023,2021-12-18,HY-VEE #7 / CEDAR RAPIDS,52411,luxco inc,21215,6,90.0,4.5
INV-42487200016,2021-12-04,HY-VEE FOOD STORE / CORALVILLE,52241,CAMPARI AMERICA,65125,2,29.98,0.75
INV-42872200177,2021-12-17,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PARK STREET IMPORTS,88367,2,120.0,1.5
INV-42872200122,2021-12-17,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,BACARDI USA INC,64336,2,58.5,1.5
INV-42536500041,2021-12-05,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,73702,3,36.0,2.25
INV-42981400003,2021-12-19,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,43337,12,211.56,12.0
