Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-31579800071,11/02/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,WILLIAM GRANT & SONS INC,5159,6,261.0,1.18
INV-31757100033,11/09/2020,HY-VEE #3 / BDI / DES MOINES,50320,sazerac north america,35947,72,378.0,19.02
INV-31579800109,11/02/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JDSO INC / RED BOOT DISTILLERY,36875,18,186.3,8.32
INV-31617100039,11/03/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,WILLIAM GRANT & SONS INC,15913,2,49.5,0.39
INV-31841100153,11/11/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,"mast-jagermeister us, inc",65257,4,99.0,1.05
INV-31841100160,11/11/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,68846,,27.0,0.39
INV-31758100017,11/09/2020,HY-VEE #7 / CEDAR RAPIDS,52411,campari america,22158,3,112.5,1.38
INV-31734600195,11/06/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,75183,3,51.0,0.59
INV-31576200127,11/02/2020,HY-VEE #4 / WDM,50265,CAMPARI AMERICA,77776,12,189.0,2.37
INV-31570000119,11/02/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,69638,30,659.7,13.86
INV-31841100167,11/11/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,mhw ltd,73065,12,234.0,2.37
INV-31570000150,11/02/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,100423,8,72.0,0.21
INV-31617100120,11/03/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PERNOD RICARD USA,42712,3,22.29,0.03
INV-31616800003,11/03/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PERNOD RICARD USA,42716,24,269.76,4.75
INV-31572900073,11/02/2020,HY-VEE #3 / BDI / DES MOINES,50320,campari america,77774,12,248.76,3.17
INV-31579800128,11/02/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,FOUR ROSES DISTILLERY,18352,24,426.24,4.75
INV-31617100152,11/03/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PROXIMO,59193,,78.66,2.77
INV-31576200091,11/02/2020,HY-VEE #4 / WDM,50265,BROWN FORMAN CORP.,22228,6,274.44,1.18
INV-31572900045,11/02/2020,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,43050,12,171.0,3.17
INV-31579800053,11/02/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PERNOD RICARD USA,32238,6,116.94,2.77
INV-31572900013,11/02/2020,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,28279,12,189.0,2.37
INV-31765500097,11/09/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,CAMPARI AMERICA,22156,12,252.0,2.37
INV-31761200040,11/09/2020,HY-VEE #4 / WDM,50265,JIM BEAM BRANDS,88841,6,141.66,1.18
INV-31841100119,11/11/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,moet hennessy usa,48105,4,65.96,0.39
INV-31579100017,11/02/2020,HY-VEE FOOD STORE / CORALVILLE,52241,BACARDI USA INC,64336,3,87.75,0.59
INV-31572900074,11/02/2020,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,77843,12,166.56,3.17
INV-31765500156,11/09/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,BACARDI USA INC,902243,,87.75,0.59
INV-31617100163,11/03/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,WILLIAM GRANT & SONS INC,64876,1,34.5,0.19
INV-31579800254,11/02/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,HEAVEN HILL BRANDS,11773,12,28.08,0.63
INV-31579800032,11/02/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,44456,12,126.0,2.37
INV-31734600119,11/06/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,27025,12,297.0,2.37
INV-31570000123,11/02/2020,HY-VEE #7 / CEDAR RAPIDS,52411,piedmont distillers inc,76036,6,103.5,1.18
INV-31570000065,11/02/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,38089,48,64.32,1.26
INV-31570000039,11/02/2020,HY-VEE #7 / CEDAR RAPIDS,52411,western spirits beverage,27433,6,90.0,1.18
INV-31579800276,11/02/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,BEST CASE WINES LLC,949712,6,112.5,1.18
INV-31617100063,11/03/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,JIM BEAM BRANDS,27544,12,189.0,2.37
INV-31734600209,11/06/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,34856,3,31.5,0.59
INV-31570000061,11/02/2020,HY-VEE #7 / CEDAR RAPIDS,52411,e & j gallo winery,36969,12,135.0,2.37
INV-31799900176,11/10/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,JIM BEAM BRANDS,82846,,117.0,2.37
INV-31757100050,11/09/2020,HY-VEE #3 / BDI / DES MOINES,50320,william grant & sons inc,45887,12,212.04,3.17
INV-31617100229,11/03/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PROXIMO,87408,12,199.32,2.37
INV-31570000033,11/02/2020,HY-VEE #7 / CEDAR RAPIDS,52411,laird & company,23827,2,13.2,0.52
INV-31764500032,11/09/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PERNOD RICARD USA,67578,12,215.88,2.37
INV-31572900088,11/02/2020,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,89796,12,270.0,2.37
INV-31757100025,11/09/2020,HY-VEE #3 / BDI / DES MOINES,50320,pernod ricard usa,34015,12,269.88,3.17
INV-31579100030,11/02/2020,HY-VEE FOOD STORE / CORALVILLE,52241,BACARDI USA INC,43121,1,8.31,0.01
INV-31765500067,11/09/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,82786,12,117.0,2.37
INV-31576200030,11/02/2020,HY-VEE #4 / WDM,50265,CONSTELLATION BRANDS INC,53214,6,28.98,0.59
