Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-28452200177,07/02/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,REMY COINTREAU USA INC,50686,1,10.86,0.19
INV-28935300022,07/23/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,PHILLIPS BEVERAGE,37664,,10.54,0.02
INV-28952800069,07/24/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,MOET HENNESSY USA,1258,6,134.94,0.15
INV-28409600140,07/01/2020,HY-VEE #7 / CEDAR RAPIDS,52411,proximo,59154,12,180.72,5.54
INV-28910900077,07/22/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PIEDMONT DISTILLERS INC,76036,6,103.5,1.18
INV-28414000170,07/01/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,MOET HENNESSY USA,5103,3,112.47,0.59
INV-28414000046,07/01/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PIEDMONT DISTILLERS INC,76040,6,103.5,1.18
INV-29142000098,07/31/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,43848,6,67.5,2.77
INV-28905200040,07/22/2020,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,30236,12,90.0,2.37
INV-28923800144,07/23/2020,HY-VEE #3 / BDI / DES MOINES,50320,heaven hill brands,17917,5,225.0,0.99
INV-28905200087,07/22/2020,HY-VEE #7 / CEDAR RAPIDS,52411,jem beverage company,39648,3,40.56,0.59
INV-28409600155,07/01/2020,HY-VEE #7 / CEDAR RAPIDS,52411,park street imports,65426,2,42.3,0.39
INV-28438800056,07/02/2020,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,44499,12,126.0,2.37
INV-28910900067,07/22/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PERNOD RICARD USA,15626,12,296.88,2.37
INV-28952800172,07/24/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,19112,2,40.5,0.39
INV-28427900117,07/01/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PROXIMO,89196,,199.32,2.37
INV-29142000272,07/31/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,"MAST-JAGERMEISTER US, INC",88372,6,147.9,1.18
INV-28907500008,07/22/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PHILLIPS BEVERAGE,41604,4,42.0,0.79
INV-28438800017,07/02/2020,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,28233,24,594.0,6.34
INV-29049300128,07/28/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,e & j gallo winery,36969,12,135.0,2.37
INV-29072300252,07/29/2020,HY-VEE #7 / CEDAR RAPIDS,52411,luxco inc,87646,12,198.0,2.37
INV-29082500152,07/29/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,MCCORMICK DISTILLING CO.,36903,12,20.4,0.63
INV-29098100001,07/30/2020,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,10009,12,121.32,3.17
INV-28409600176,07/01/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac north america,73986,2,18.0,0.39
INV-29072300163,07/29/2020,HY-VEE #7 / CEDAR RAPIDS,52411,e & j gallo winery,52582,3,32.58,0.59
INV-28438800045,07/02/2020,HY-VEE #3 / BDI / DES MOINES,50320,e & j gallo winery,40594,12,135.0,2.37
INV-29114800117,07/30/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,76486,3,15.75,0.59
INV-28905200011,07/22/2020,HY-VEE #7 / CEDAR RAPIDS,52411,phillips beverage,14519,,25.02,0.39
INV-29114800161,07/30/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,17127,4,30.0,1.05
INV-28910900101,07/22/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,BACARDI USA INC,43126,24,297.36,4.75
INV-28409600047,07/01/2020,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,30238,12,188.88,5.54
INV-28407700031,07/01/2020,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,28868,6,224.94,2.77
INV-28427900056,07/01/2020,HY-VEE FOOD STORE / CORALVILLE,52241,JIM BEAM BRANDS,82787,12,141.72,3.17
INV-28452200242,07/02/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,LAIRD & COMPANY,23824,4,12.56,0.39
INV-29072300076,07/29/2020,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,30238,6,94.44,2.77
INV-28910900184,07/22/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,WILLIAM GRANT & SONS INC,5006,,78.0,0.39
INV-29098100082,07/30/2020,HY-VEE #3 / BDI / DES MOINES,50320,"mast-jagermeister us, inc",65257,72,1782.0,19.02
INV-28409600129,07/01/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac north america,57157,6,58.5,2.77
INV-29072300020,07/29/2020,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,11294,2,24.0,0.19
INV-28451900031,07/02/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,63522,12,72.0,2.53
INV-29082500063,07/29/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,MCCORMICK DISTILLING CO.,36904,,64.8,2.37
INV-28414000161,07/01/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,WILLIAM GRANT & SONS INC,4367,2,127.5,0.39
INV-29097100013,07/30/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,BROWN FORMAN CORP.,26821,2,27.18,0.02
INV-28910900049,07/22/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,68037,12,377.88,3.17
INV-29114800099,07/30/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,CAMPARI AMERICA,64996,3,69.75,0.59
INV-28438800050,07/02/2020,HY-VEE #3 / BDI / DES MOINES,50320,phillips beverage,41694,36,405.0,9.51
INV-28452200028,07/02/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,PRESTIGE WINE & SPIRITS GROUP,75230,,90.0,1.18
INV-29142000116,07/31/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,10008,6,94.5,2.77
INV-28923800137,07/23/2020,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,86251,120,435.6,31.7
