Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-29228900127,08/04/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,phillips beverage,42984,6,90.0,2.77
INV-29302900141,08/07/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,11294,5,60.0,0.49
INV-29418200122,08/12/2020,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,56006,2,18.0,0.39
INV-29199300144,08/04/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,MOET HENNESSY USA,48105,3,49.47,0.29
INV-29171200007,08/03/2020,HY-VEE #4 / WDM,50265,SAZERAC NORTH AMERICA,904815,6,94.98,1.18
INV-29199300151,08/04/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,58801,6,99.0,2.77
INV-29164300069,08/03/2020,HY-VEE #3 / BDI / DES MOINES,50320,park street imports,64976,6,167.58,1.18
INV-29199300203,08/04/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,LUXCO INC,80571,1,6.83,0.01
INV-29344700123,08/10/2020,HY-VEE #4 / WDM,50265,CEDAR RIDGE VINEYARDS LL,26710,6,175.5,1.18
INV-29164300010,08/03/2020,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,19067,48,906.72,12.68
INV-29199300008,08/04/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,EDRINGTON GROUP USA LLC,5486,1,60.02,0.19
INV-29228900235,08/04/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,87596,2,40.5,0.39
INV-29228900227,08/04/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,proximo,86821,2,32.5,0.39
INV-29228900101,08/04/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,e & j gallo winery,36618,3,33.75,0.59
INV-29341800018,08/10/2020,HY-VEE #7 / CEDAR RAPIDS,52411,cns imports; four seasons trading; cns wine & spirits,16120,,126.0,0.59
INV-29164300009,08/03/2020,HY-VEE #3 / BDI / DES MOINES,50320,four roses distillery,18352,36,639.36,7.13
INV-29404400141,08/11/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,44350,,47.2,0.99
