Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-27214300113,05/13/2020,HY-VEE #7 / CEDAR RAPIDS,52411,disaronno international,64136,2,43.54,0.39
INV-27224300020,05/13/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SAZERAC COMPANY  INC,65013,12,90.0,0.15
INV-27416500044,05/21/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC NORTH AMERICA,84197,1,9.0,0.01
INV-27204900177,05/12/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,proximo,59162,2,30.12,0.92
INV-27371200075,05/20/2020,HY-VEE #4 / WDM,50265,SAZERAC NORTH AMERICA,36900,30,311.4,13.86
INV-27214300002,05/13/2020,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,10805,3,36.0,0.29
INV-27459600109,05/26/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac north america,84201,4,45.0,0.79
INV-27254100017,05/14/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,86881,2,16.96,0.02
INV-27254100240,05/14/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,37994,6,42.78,0.59
INV-27463000038,05/26/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PERNOD RICARD USA,15621,2,29.7,0.02
INV-27459600069,05/26/2020,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,44258,3,33.75,0.59
INV-27464800086,05/26/2020,HY-VEE #4 / WDM,50265,RUSSIAN STANDARD VODKA,904715,6,116.76,1.18
INV-27264500265,05/15/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,73526,2,19.5,0.39
INV-27300100029,05/18/2020,HY-VEE #7 / CEDAR RAPIDS,52411,cedar ridge vineyards ll,17206,60,1629.0,11.88
INV-27300100115,05/18/2020,HY-VEE #7 / CEDAR RAPIDS,52411,proximo,59182,6,90.36,2.77
