Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-27390400136,05/20/2020,HY-VEE #7 / CEDAR RAPIDS,52411,luxco inc,55246,2,16.14,0.39
INV-27371200128,05/20/2020,HY-VEE #4 / WDM,50265,FOUR ROSES DISTILLERY,18352,12,213.12,2.37
INV-27371200010,05/20/2020,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,100413,7,630.0,0.09
INV-27390400028,05/20/2020,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,19066,84,1323.0,16.64
INV-27204900081,05/12/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,pernod ricard usa,32235,4,38.96,0.79
INV-27214300053,05/13/2020,HY-VEE #7 / CEDAR RAPIDS,52411,fifth generation inc,38174,3,24.39,0.29
INV-27211600015,05/13/2020,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,100423,8,72.0,0.21
INV-27371200140,05/20/2020,HY-VEE #4 / WDM,50265,LUXCO INC,72816,12,90.0,2.37
INV-27381000204,05/20/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,WESTERN SPIRITS BEVERAGE,27469,2,17.4,0.02
INV-27416500014,05/21/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,64858,,225.0,0.06
INV-27343800102,05/19/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,LUXCO INC,35699,12,126.0,2.37
INV-27224300077,05/13/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,26656,,243.0,2.37
INV-27224300022,05/13/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,36871,,296.88,2.37
INV-27416500022,05/21/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,BACARDI USA INC,43745,1,8.31,0.01
INV-27216500063,05/13/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PHILLIPS BEVERAGE,6322,6,157.5,1.18
INV-27416500139,05/21/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,27554,2,21.0,0.39
INV-27371200035,05/20/2020,HY-VEE #4 / WDM,50265,HEAVEN HILL BRANDS,43026,,108.0,2.37
INV-27390400140,05/20/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac north america,57125,6,54.0,2.77
INV-27224300170,05/13/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PHILLIPS BEVERAGE,39770,3,20.7,0.03
INV-27416500172,05/21/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,E & J GALLO WINERY,52563,2,24.72,0.39
INV-27390400141,05/20/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac north america,57157,6,54.0,2.77
INV-27381000146,05/20/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,E & J GALLO WINERY,31475,6,72.0,1.18
INV-27174300010,05/12/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,EDRINGTON GROUP USA LLC,5700,1,51.0,0.19
INV-27360800103,05/19/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,infinium spirits,37886,4,32.28,0.79
INV-27224300031,05/13/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,MCCORMICK DISTILLING CO.,36908,12,134.52,5.54
INV-27204900218,05/12/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,82857,3,35.43,0.79
INV-27390400073,05/20/2020,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,34458,6,198.0,2.77
INV-27214300026,05/13/2020,HY-VEE #7 / CEDAR RAPIDS,52411,proximo,27605,2,41.26,0.39
INV-27216500027,05/13/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PRESTIGE WINE & SPIRITS GROUP,75242,1,7.26,0.01
INV-27416500121,05/21/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,15818,1,15.0,0.19
INV-27254100059,05/14/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,29568,6,94.44,2.77
INV-27390400089,05/20/2020,HY-VEE #7 / CEDAR RAPIDS,52411,e & j gallo winery,36968,,10.5,0.19
