Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-29638000203,08/21/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,67267,,52.89,0.79
INV-29168900094,08/03/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PHILLIPS BEVERAGE,37348,6,68.4,2.77
INV-29169200134,08/03/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,MISSISSIPPI RIVER DISTIL,80236,12,183.12,2.37
INV-29344700134,08/10/2020,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,27751,6,63.0,1.18
INV-29199300105,08/04/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PHILLIPS BEVERAGE,37348,6,68.4,2.77
INV-29339800125,08/10/2020,HY-VEE #3 / BDI / DES MOINES,50320,mccormick distilling co.,89665,6,230.7,1.18
INV-29302900220,08/07/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,HEAVEN HILL BRANDS,76478,,29.98,0.39
INV-29199300164,08/04/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,64755,2,49.48,0.39
INV-29339800036,08/10/2020,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,36307,12,72.96,3.17
INV-29339800060,08/10/2020,HY-VEE #3 / BDI / DES MOINES,50320,moet hennessy usa,48106,36,1079.64,7.13
INV-29404400216,08/11/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,heaven hill brands,86796,4,32.24,0.79
INV-29166500082,08/03/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,86888,6,182.34,2.77
INV-29164300003,08/03/2020,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,10792,12,340.08,3.17
INV-29171200046,08/03/2020,HY-VEE #4 / WDM,50265,SHAW-ROSS INTERNATIONAL,44266,6,112.5,1.18
INV-29199300007,08/04/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,5350,6,292.44,1.18
INV-29344700144,08/10/2020,HY-VEE #4 / WDM,50265,LUXCO INC,82126,6,42.66,1.18
INV-29344700053,08/10/2020,HY-VEE #4 / WDM,50265,BACARDI USA INC,43136,12,148.68,2.37
INV-29164300107,08/03/2020,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,88296,72,2970.0,14.26
INV-29199300039,08/04/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,JIM BEAM BRANDS,19471,4,98.64,0.05
INV-29199300103,08/04/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,STOLI GROUP,37044,1,14.99,0.19
INV-29302900096,08/07/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,82126,12,85.32,2.37
INV-29302900227,08/07/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,69638,2,43.98,0.92
INV-29228900078,08/04/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,pernod ricard usa,34026,4,59.96,0.79
