Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-29939000048,09/02/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,BACARDI USA INC,34422,6,204.78,1.58
INV-29980700041,09/04/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,34368,6,76.44,2.77
INV-30020500022,09/08/2020,HY-VEE #4 / WDM,50265,BROWN FORMAN CORP.,22214,3,50.76,0.29
INV-29916400003,09/01/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,11296,36,842.04,7.13
INV-30083500305,09/09/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,82605,4,39.0,0.79
INV-30020500020,09/08/2020,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,37994,24,171.12,2.37
INV-29972400002,09/03/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,MHW LTD,73051,12,159.72,0.15
INV-29944700065,09/02/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PHILLIPS BEVERAGE,37664,,52.7,0.13
INV-29939000101,09/02/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SAZERAC NORTH AMERICA,84222,,90.0,0.13
INV-30083500301,09/09/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,81208,6,67.5,2.77
INV-30020500129,09/08/2020,HY-VEE #4 / WDM,50265,PERNOD RICARD USA,15628,6,292.32,2.77
INV-30020500073,09/08/2020,HY-VEE #4 / WDM,50265,WILLIAM GRANT & SONS INC,65307,6,180.0,1.18
INV-30098300036,09/10/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PRESTIGE WINE & SPIRITS GROUP,80438,6,90.0,1.18
INV-29972800020,09/03/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,E & J GALLO WINERY,52563,2,24.72,0.39
INV-30083500233,09/09/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,proximo,58838,12,157.32,5.54
INV-30027600028,09/08/2020,HY-VEE FOOD STORE / CORALVILLE,52241,BROWN FORMAN CORP.,52806,12,119.88,2.37
INV-29939000096,09/02/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,11297,36,1020.24,9.51
INV-29972500065,09/03/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,30316,3,22.5,0.59
INV-29885000029,09/01/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,HEAVEN HILL BRANDS,80145,,97.8,2.37
