Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-24532000164,01/14/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PERNOD RICARD USA,89610,3,58.47,0.59
INV-24773600196,01/24/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,82867,4,47.24,1.05
INV-24512400045,01/13/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,28279,3,47.25,0.59
INV-24865600181,01/28/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac north america,54436,4,25.04,0.79
INV-24760900005,01/23/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,JIM BEAM BRANDS,86112,12,42.0,3.17
INV-24500400032,01/13/2020,HY-VEE #3 / BDI / DES MOINES,50320,e & j gallo winery,39492,12,135.0,2.37
INV-24803000049,01/27/2020,HY-VEE #3 / BDI / DES MOINES,50320,stoli group,34787,,287.52,3.17
INV-24532000105,01/14/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,REMY COINTREAU USA INC,49186,,35.97,0.19
INV-24532000090,01/14/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023a,DIAGEO AMERICAS,43285,12,163.08,2.37
INV-24569600198,01/15/2020,HY-VEE #7 / CEDAR RAPIDS,52411,prestige wine & spirits group,75224,1,7.26,0.01
INV-24566200077,01/15/2020,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,43285,48,652.32,9.51
INV-24500400028,01/13/2020,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,36188,6,87.66,2.77
INV-24566200092,01/15/2020,HY-VEE #4 / WDM,50265,LUXCO INC,44658,6,90.0,2.77
INV-24760100001,01/23/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,PHILLIPS BEVERAGE,902501,,94.68,1.18
INV-24608000019,01/16/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,BACARDI USA INC,4876,12,360.0,2.37
INV-24664700231,01/20/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,CEDAR RIDGE VINEYARDS LL,100672,6,202.5,0.31
INV-24566200053,01/15/2020,HY-VEE #4 / WDM,50265,GEMINI SPIRITS,62400,,51.24,2.77
INV-24839900083,01/28/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,HEAVEN HILL BRANDS,39553,3,22.74,0.03
INV-24839900126,01/28/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PROXIMO,58868,12,157.32,5.54
INV-24566200139,01/15/2020,HY-VEE #4 / WDM,50265,HEAVEN HILL BRANDS,17958,6,139.5,2.77
INV-24570600126,01/15/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,82147,3,22.5,0.79
INV-24876900109,01/29/2020,HY-VEE #4 / WDM,50265,HEAVEN HILL BRANDS,72722,4,36.0,0.79
INV-24581100144,01/15/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PROXIMO,89193,4,18.0,0.21
INV-24865600163,01/28/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,william grant & sons inc,45884,5,36.0,0.49
INV-24569600213,01/15/2020,HY-VEE #7 / CEDAR RAPIDS,52411,brown forman corp.,86669,4,45.0,0.39
INV-24839900062,01/28/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,34456,12,225.0,2.37
INV-24573500002,01/15/2020,HY-VEE FOOD STORE / CORALVILLE,52241,JIM BEAM BRANDS,82786,3,29.25,0.59
INV-24839900090,01/28/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,HEAVEN HILL BRANDS,40327,12,153.0,2.37
INV-24581100111,01/15/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,REMY COINTREAU USA INC,50686,6,65.16,1.18
INV-24566200108,01/15/2020,HY-VEE #4 / WDM,50265,WESTERN SPIRITS BEVERAGE,27697,6,90.0,1.18
INV-24569600127,01/15/2020,HY-VEE #7 / CEDAR RAPIDS,52411,minhas micro distillery,38581,30,292.5,13.86
INV-24566200006,01/15/2020,HY-VEE #4 / WDM,50265,SAZERAC NORTH AMERICA,81124,10,90.0,0.13
INV-24876900180,01/29/2020,HY-VEE #4 / WDM,50265,LUXCO INC,41846,4,48.0,0.79
INV-24664300003,01/20/2020,HY-VEE FOOD STORE / CORALVILLE,52241,LAIRD & COMPANY,29993,5,9.0,0.26
INV-24664300029,01/20/2020,HY-VEE FOOD STORE / CORALVILLE,52241,INFINIUM SPIRITS,87026,,333.0,2.37
INV-24811200109,01/27/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PERNOD RICARD USA,34007,12,224.88,3.17
INV-24725400044,01/22/2020,HY-VEE #7 / CEDAR RAPIDS,52411,brown forman corp.,22207,6,357.84,2.77
INV-24664300084,01/20/2020,HY-VEE FOOD STORE / CORALVILLE,52241,WILLIAM GRANT & SONS INC,45886,12,173.76,2.37
INV-24876900105,01/29/2020,HY-VEE #4 / WDM,50265,E & J GALLO WINERY,52595,12,117.0,2.37
INV-24608000105,01/16/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,16096,3,45.0,0.59
INV-24627400102,01/17/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PHILLIPS BEVERAGE,37336,4,39.0,0.79
INV-24931900008,01/31/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PHILLIPS BEVERAGE,37338,6,98.94,2.77
INV-24627400079,01/17/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BACARDI USA INC,34422,6,204.78,1.58
INV-24931900111,01/31/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,E & J GALLO WINERY,40186,3,33.75,0.59
INV-24899500014,01/29/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,80576,12,63.0,2.37
INV-24627400012,01/17/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,30318,6,99.0,2.77
INV-24664300011,01/20/2020,HY-VEE FOOD STORE / CORALVILLE,52241,E & J GALLO WINERY,73755,,39.0,0.79
INV-24915800011,01/30/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,BROWN FORMAN CORP.,26827,12,340.08,3.17
INV-24734200040,01/22/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,43337,36,634.68,9.51
INV-24627400186,01/17/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BACARDI USA INC,34423,3,41.64,0.29
INV-24891500002,01/29/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,10830,1,44.99,0.19
INV-24891400080,01/29/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,HEAVEN HILL BRANDS,17956,12,144.0,2.37
INV-24881400006,01/29/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PERNOD RICARD USA,42714,,12.72,0.19
INV-24661300140,01/20/2020,HY-VEE #3 / BDI / DES MOINES,50320,heaven hill brands,43984,3,27.0,0.59
INV-24915800098,01/30/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,17086,3,74.25,0.59
