Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-26611300133,04/16/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,89468,1,15.0,0.19
INV-26692300141,04/21/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,43337,12,211.56,3.17
INV-26611700002,04/16/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC NORTH AMERICA,35318,6,62.28,2.77
INV-26285500164,04/03/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC NORTH AMERICA,84172,10,90.0,0.13
INV-26251600143,04/01/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,LUXCO INC,55088,6,101.64,2.77
INV-26285500109,04/03/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,10008,6,94.5,2.77
INV-26251600106,04/01/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,LUXCO INC,18196,12,135.0,2.37
INV-26285500081,04/03/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,21215,6,90.0,1.18
INV-26243100040,04/01/2020,HY-VEE FOOD STORE / CORALVILLE,52241,LAIRD & COMPANY,23626,12,63.0,2.37
INV-26271200034,04/02/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,27453,8,76.56,0.1
INV-26705500077,04/21/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,35179,2,21.0,0.39
INV-26243100013,04/01/2020,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,77632,,49.52,0.79
INV-26273700081,04/02/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,pernod ricard usa,32234,1,5.09,0.09
INV-26271200001,04/02/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,PROXIMO,89207,60,1575.0,15.85
INV-26244800041,04/01/2020,HY-VEE #4 / WDM,50265,CAMPARI AMERICA,65126,36,1258.92,7.13
INV-26244800029,04/01/2020,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,17086,180,4455.0,35.66
INV-26628400077,04/17/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BROWN FORMAN CORP.,22215,24,809.76,4.75
INV-26285500254,04/03/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BACARDI USA INC,28238,2,79.5,0.92
INV-26692300115,04/21/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PHILLIPS BEVERAGE,37348,12,136.8,5.54
INV-26271200113,04/02/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,89164,1,101.51,0.19
INV-26273700290,04/02/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613a,campari america,89286,2,42.0,0.39
INV-26667400228,04/20/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PERNOD RICARD USA,87151,2,12.06,0.02
INV-26628400248,04/17/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PROXIMO,86821,3,48.75,0.59
INV-26273700217,04/02/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,"sovereign brands, llc",64529,2,55.5,0.39
INV-26611300097,04/16/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,JIM BEAM BRANDS,27604,1,30.0,0.19
INV-26273700040,04/02/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,20248,6,94.5,2.77
INV-26692300129,04/21/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,BACARDI USA INC,42370,1,22.5,0.19
INV-26273700097,04/02/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,proximo,34935,3,44.82,0.59
INV-26271200116,04/02/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,REMY COINTREAU USA INC,28905,2,61.44,0.39
INV-26285500241,04/03/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,HEAVEN HILL BRANDS,41279,2,13.5,0.39
INV-26273700184,04/02/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,moet hennessy usa,48099,2,19.48,0.1
INV-26273700085,04/02/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,pernod ricard usa,33256,5,48.7,0.99
INV-26660700010,04/20/2020,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,11298,36,1727.64,16.64
INV-26245200130,04/01/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,69611,3,38.97,0.59
INV-26244800061,04/01/2020,HY-VEE #4 / WDM,50265,PERNOD RICARD USA,89029,6,247.32,1.18
INV-26285500107,04/03/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BACARDI USA INC,4866,12,243.0,2.37
INV-26273700119,04/02/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,37416,4,27.0,0.79
INV-26692300072,04/21/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,CEDAR RIDGE VINEYARDS LL,26759,1,11.25,0.05
INV-26245200147,04/01/2020,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,77852,12,148.56,2.37
INV-26285500101,04/03/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,25606,,135.0,2.37
INV-26660700052,04/20/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,36978,6,58.5,2.77
INV-26245200049,04/01/2020,HY-VEE #7 / CEDAR RAPIDS,52411,laird & company,35926,12,60.72,2.37
INV-26271200016,04/02/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC NORTH AMERICA,89577,,126.36,3.17
INV-26660700090,04/20/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,69631,2,15.0,0.02
INV-26251600050,04/01/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PERNOD RICARD USA,34076,6,89.94,1.18
INV-26667400024,04/20/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,11299,12,90.0,0.63
INV-26285500189,04/03/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,HEAVEN HILL BRANDS,40327,3,38.25,0.59
INV-26273700212,04/02/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,proximo,59193,,78.66,2.77
INV-26664200040,04/20/2020,HY-VEE #4 / WDM,50265,BROWN FORMAN CORP.,87589,6,111.06,1.18
INV-26251600007,04/01/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SAZERAC COMPANY  INC,65013,24,180.0,0.31
INV-26244800089,04/01/2020,HY-VEE #4 / WDM,50265,JIM BEAM BRANDS,34395,24,450.0,4.75
INV-26251600061,04/01/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,BROWN FORMAN CORP.,74802,,170.04,1.58
INV-26273700095,04/02/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,william grant & sons inc,34753,6,98.76,1.18
INV-26660700098,04/20/2020,HY-VEE #7 / CEDAR RAPIDS,52411,piedmont distillers inc,76036,6,103.5,1.18
INV-26245200098,04/01/2020,HY-VEE #7 / CEDAR RAPIDS,52411,bacardi usa inc,43501,12,148.56,2.37
INV-26628400030,04/17/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PHILLIPS BEVERAGE,41693,12,117.0,2.37
INV-26245200111,04/01/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac north america,57125,6,58.5,2.77
