Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-24512000078,01/13/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PERNOD RICARD USA,67526,12,224.88,2.37
INV-24773600173,01/24/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,44657,3,30.03,0.79
INV-24803000096,01/27/2020,HY-VEE #3 / BDI / DES MOINES,50320,campari america,65127,24,919.92,6.34
INV-24747500109,01/23/2020,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,43337,672,11847.36,177.52
INV-24760900063,01/23/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,JIM BEAM BRANDS,80687,2,23.62,0.52
INV-24773600103,01/24/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,10791,12,280.68,2.37
INV-24512000002,01/13/2020,HY-VEE FOOD STORE / CORALVILLE,52241,PERNOD RICARD USA,67522,1,9.9,0.01
INV-24581100122,01/15/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,HEAVEN HILL BRANDS,11586,6,63.0,1.18
INV-24773600188,01/24/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,CATS EYE DISTILLERY,72945,2,49.96,0.39
INV-24747500010,01/23/2020,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,27026,,368.88,3.17
INV-24532000145,01/14/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,77858,,148.56,2.37
INV-24532000024,01/14/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,25604,3,15.75,0.29
INV-24469600021,01/10/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,87485,12,531.0,2.37
INV-24469600015,01/10/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,43337,36,634.68,9.51
INV-24469600086,01/10/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,"MAST-JAGERMEISTER US, INC",65254,,39.12,0.39
INV-24760900073,01/23/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,12856,1,9.75,0.19
INV-24469600055,01/10/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,86886,12,186.0,2.37
INV-24532000103,01/14/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,MOET HENNESSY USA,48105,12,193.32,1.18
INV-24500400121,01/13/2020,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,43337,672,11847.36,177.52
INV-24803000115,01/27/2020,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,82187,12,90.0,3.17
INV-24512400003,01/13/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,43848,6,67.5,2.77
INV-24469600048,01/10/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,GEMINI SPIRITS,80458,6,103.86,2.77
INV-24500400002,01/13/2020,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,10808,12,340.08,3.17
INV-24566200034,01/15/2020,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,64864,24,192.0,2.37
INV-24595700084,01/16/2020,HY-VEE #3 / BDI / DES MOINES,50320,patron spirits company,64736,12,255.12,2.37
INV-24803000070,01/27/2020,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,43037,12,171.0,3.17
INV-24532000063,01/14/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DEHNER DISTILLERY,36875,18,175.5,8.32
INV-24803000056,01/27/2020,HY-VEE #3 / BDI / DES MOINES,50320,"foundry distilling company, llc",36878,12,142.8,2.37
INV-24469600012,01/10/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BROWN FORMAN CORP.,26820,24,270.0,2.37
INV-24531900006,01/14/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,JIM BEAM BRANDS,19476,120,3150.0,23.77
INV-24839900156,01/28/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,SAZERAC COMPANY  INC,73848,2,18.0,0.02
INV-24760200004,01/23/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,16518,,106.2,2.77
INV-24512000060,01/13/2020,HY-VEE FOOD STORE / CORALVILLE,52241,GEMINI SPIRITS,87380,6,105.78,1.18
INV-24595700102,01/16/2020,HY-VEE #3 / BDI / DES MOINES,50320,heaven hill brands,76478,,89.94,1.18
INV-24569600047,01/15/2020,HY-VEE #7 / CEDAR RAPIDS,52411a,chatham imports inc,19880,6,206.28,1.18
INV-24747500111,01/23/2020,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,17092,2,74.98,0.39
INV-24532000009,01/14/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,HEAVEN HILL BRANDS,11788,12,188.16,5.54
INV-24573500020,01/15/2020,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,77699,4,55.52,1.05
INV-24761100007,01/23/2020,HY-VEE FOOD STORE #1 / MASON CITY,50401,FOUR ROSES DISTILLERY,18348,,145.56,1.18
INV-24532000097,01/14/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,JIM BEAM BRANDS,44520,,126.0,2.37
INV-24570600010,01/15/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac north america,12408,6,82.26,2.77
INV-24879700080,01/29/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac north america,35317,24,143.04,6.34
INV-24879700102,01/29/2020,HY-VEE #7 / CEDAR RAPIDS,52411,minhas micro distillery,38581,30,292.5,13.86
INV-24469600039,01/10/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,54646,12,96.84,2.37
INV-24512400011,01/13/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,LUXCO INC,36308,30,322.8,13.86
INV-24811200017,01/27/2020,HY-VEE FOOD STORE / CORALVILLE,52241,SAZERAC NORTH AMERICA,84166,2,22.5,0.39
