Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-31765500151,11/09/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,AMERICAN SPIRITS EXCHANGE,10888,1,29.21,0.19
INV-31579100109,11/02/2020,HY-VEE FOOD STORE / CORALVILLE,52241,LUXCO INC,76486,12,63.0,2.37
INV-31764500073,11/09/2020,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,5318,6,216.48,1.18
INV-32043000060,11/18/2020,HY-VEE FOOD STORE / CORALVILLE,52241,SAZERAC COMPANY  INC,34368,6,76.44,2.77
INV-32045800191,11/18/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,INFINIUM SPIRITS,37880,4,10.56,0.21
INV-31993700029,11/17/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,HEAVEN HILL BRANDS,11588,6,116.94,2.77
INV-32023100025,11/17/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,heaven hill brands,17958,6,139.5,2.77
INV-32045800079,11/18/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,77903,12,148.56,2.37
INV-31993600003,11/17/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,MHW LTD,17520,6,180.0,1.18
INV-31905600143,11/13/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,34702,3,31.5,0.59
INV-31869900129,11/12/2020,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,85526,24,189.12,4.75
INV-31841100052,11/11/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,constellation brands inc,33658,4,52.52,0.79
INV-31679400164,11/04/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PERNOD RICARD USA,42712,4,29.72,0.05
INV-31642800129,11/03/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,phillips beverage,41693,12,126.0,2.37
INV-31689400064,11/05/2020,HY-VEE #3 / BDI / DES MOINES,50320,serralles usa,43426,,125.88,2.37
INV-31679400256,11/04/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,LUXCO INC,55506,5,41.25,0.99
INV-31689400114,11/05/2020,HY-VEE #3 / BDI / DES MOINES,50320a,diageo americas,77900,12,148.56,2.37
INV-31679400070,11/04/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,CEDAR RIDGE VINEYARDS LL,17206,6,162.9,1.18
INV-31859900113,11/11/2020,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SAZERAC NORTH AMERICA,84226,2,18.0,0.02
INV-31684500006,11/04/2020,HY-VEE FOOD STORE / CORALVILLE,52241,SAZERAC COMPANY  INC,100847,1,90.0,0.01
INV-31841100171,11/11/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,e & j gallo winery,73762,3,29.25,0.59
INV-31799900190,11/10/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,BROWN FORMAN CORP.,87589,1,18.51,0.19
INV-31905600151,11/13/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,HEAVEN HILL BRANDS,43024,8,35.92,0.79
INV-31764500090,11/09/2020,HY-VEE FOOD STORE / CORALVILLE,52241,JIM BEAM BRANDS,89796,12,270.0,2.37
INV-31868600050,11/11/2020,HY-VEE #4 / WDM,50265,SAZERAC NORTH AMERICA,57148,6,58.5,2.77
INV-31681300085,11/04/2020,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,43848,6,67.5,2.77
INV-31642800183,11/03/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,55506,3,24.75,0.59
INV-31954600096,11/16/2020,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,89787,12,213.0,3.17
INV-31863600049,11/11/2020,HY-VEE #7 / CEDAR RAPIDS,52411,pernod ricard usa,34029,2,44.98,0.52
INV-31642800241,11/03/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,82786,12,117.0,2.37
INV-31681300121,11/04/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,69657,,33.0,0.52
INV-31642800163,11/03/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,45275,4,24.0,0.79
INV-31681300119,11/04/2020,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,67267,,35.26,0.52
INV-31869900094,11/12/2020,HY-VEE #3 / BDI / DES MOINES,50320,mhw ltd,64769,3,83.97,0.59
INV-31905600004,11/13/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,E & J GALLO WINERY,36967,24,71.76,1.26
INV-31642800234,11/03/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,82126,3,21.33,0.59
INV-31954600031,11/16/2020,HY-VEE #3 / BDI / DES MOINES,50320,"foundry distilling company, llc",36878,12,142.8,2.37
INV-31734600078,11/06/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PERNOD RICARD USA,19017,6,359.82,1.18
