Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-24977000204,02/03/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,MCCORMICK DISTILLING CO.,36908,18,201.78,8.32
INV-24976400069,02/03/2020,HY-VEE FOOD STORE / CORALVILLE,52241,HEAVEN HILL BRANDS,11786,12,94.2,2.37
INV-24993300112,02/04/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,64716,1,24.74,0.19
INV-24993300056,02/04/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,34456,12,225.0,2.37
INV-25111500010,02/10/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,HEAVEN HILL BRANDS,29568,6,94.44,2.77
INV-25371700200,02/21/2020,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,10632,4,59.84,0.79
INV-25435200155,02/25/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,SAZERAC COMPANY  INC,69609,1,7.5,0.01
INV-25158700026,02/11/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,17086,12,297.0,2.37
INV-25420700247,02/24/2020,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,34197,1,13.88,0.09
INV-25456300140,02/25/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,64870,,64.8,1.26
INV-25435100011,02/25/2020,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PROXIMO,58860,6,78.66,2.77
INV-25466100223,02/26/2020,HY-VEE #4 / WDM,50265,LUXCO INC,36308,30,322.8,13.86
INV-25172800170,02/12/2020,HY-VEE #4 / WDM,50265,E & J GALLO WINERY,39492,12,135.0,2.37
INV-25402500209,02/24/2020,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,64572,6,83.28,0.59
INV-25158700138,02/11/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,disaronno international,64136,3,65.31,0.59
INV-25456400096,02/25/2020,HY-VEE FOOD STORE / CEDAR FALLS,50613,gemini spirits,80456,120,1206.0,23.77
