Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-53275500108,2022-11-25,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,CEDAR RIDGE VINEYARDS LL,17206,6,168.06,4.5
INV-53210200038,2022-11-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,69638,6,131.94,10.5
INV-53210200001,2022-11-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,"TEQUILAS PREMIUM, INC",88741,1,115.26,0.75
INV-53207200094,2022-11-24,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,4867,12,315.0,12.0
INV-53203000024,2022-11-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,BROWN FORMAN CORP.,920376,4,185.88,3.0
INV-52914100135,2022-11-13,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,63505,3,29.25,1.12
INV-53222800040,2022-11-24,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,19026,12,252.0,9.0
INV-53210200145,2022-11-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,43336,12,163.08,9.0
INV-53209700101,2022-11-24,HY-VEE FOOD STORE / CORALVILLE,52241,BACARDI USA INC,28233,12,297.0,12.0
INV-53210200039,2022-11-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,69656,12,155.88,9.0
INV-53207200155,2022-11-24,HY-VEE #3 / BDI / DES MOINES,50320,ole smoky distillery llc,87043,6,99.0,4.5
INV-53222700151,2022-11-24,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,57174,6,58.5,10.5
INV-53275500258,2022-11-25,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,INTERCONTINENTAL PACKAGING COMPANY/PRESTIGE BEVERAGE GROUP,15247,2,19.92,2.0
INV-53275500002,2022-11-25,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BROWN FORMAN CORP.,22214,12,203.04,4.5
INV-53210200041,2022-11-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,64865,12,161.64,9.0
INV-53000000028,2022-11-17,HY-VEE #4 / WDM,50265,PERNOD RICARD USA,34004,3,22.47,1.12
INV-53222700046,2022-11-24,HY-VEE #7 / CEDAR RAPIDS,52411,four roses distillery,18351,2,70.5,3.5
INV-53210200058,2022-11-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,35315,12,60.72,9.0
INV-53210200015,2022-11-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,E & J GALLO WINERY,87643,12,243.0,9.0
INV-53049100036,2022-11-18,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,MISSISSIPPI RIVER DISTILLING COMPANY LLC,37642,6,74.28,4.5
INV-53222700120,2022-11-24,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,40055,,130.5,10.5
INV-53222600003,2022-11-24,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,19499,1,45.0,0.75
INV-53000000054,2022-11-17,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,57371,6,157.44,4.5
INV-53222700062,2022-11-24,HY-VEE #7 / CEDAR RAPIDS,52411,brown forman corp.,26828,6,285.48,10.5
INV-53038900051,2022-11-18,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,SAZERAC COMPANY  INC,57121,6,58.5,10.5
INV-53275500174,2022-11-25,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,HEAVEN HILL BRANDS,39555,3,18.96,0.15
INV-53210200143,2022-11-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,MHW LTD,42240,12,188.88,9.0
INV-53039000001,2022-11-18,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,BACARDI USA INC,4000,6,216.0,4.5
INV-53000000078,2022-11-17,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,28704,4,119.96,3.0
INV-53203000010,2022-11-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,JIM BEAM BRANDS,35626,12,117.0,9.0
INV-53049100162,2022-11-18,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,42186,3,41.64,2.25
INV-53329900060,2022-11-26,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,OLE SMOKY DISTILLERY LLC,80382,6,99.0,4.5
INV-53000000086,2022-11-17,HY-VEE #4 / WDM,50265,HEAVEN HILL BRANDS,72732,3,27.0,2.25
INV-53315800031,2022-11-26,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,E & J GALLO WINERY,5645,6,450.0,4.5
INV-52991600030,2022-11-17,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,28867,12,287.88,12.0
INV-53358100125,2022-11-28,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,40055,,43.5,3.5
INV-53000000085,2022-11-17,HY-VEE #4 / WDM,50265,PERNOD RICARD USA,34036,12,179.88,9.0
INV-52993400128,2022-11-17,HY-VEE #7 / CEDAR RAPIDS,52411,phillips beverage,67557,12,151.08,12.0
INV-52914100186,2022-11-13,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,84496,,22.5,2.25
INV-53049100062,2022-11-18,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,69658,12,263.88,21.0
INV-52991600078,2022-11-17,HY-VEE FOOD STORE / CORALVILLE,52241,BACARDI USA INC,34422,6,171.0,6.0
INV-53038900003,2022-11-18,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,866,3,585.0,2.25
INV-52929300057,2022-11-13,HY-VEE FOOD STORE #1 / MASON CITY,50401,MCCORMICK DISTILLING CO.,24728,2,24.6,3.5
INV-53039000102,2022-11-18,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,HEAVEN HILL BRANDS,43028,6,103.98,10.5
INV-52993400164,2022-11-17,HY-VEE #7 / CEDAR RAPIDS,52411,ole smoky distillery llc,86781,3,58.5,2.25
INV-52929300097,2022-11-13,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,36871,,24.74,0.75
INV-53358100011,2022-11-28,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,10788,2,29.86,0.1
INV-52991600014,2022-11-17,HY-VEE FOOD STORE / CORALVILLE,52241,CAMPARI AMERICA,37986,,33.75,2.25
INV-53315800098,2022-11-26,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,MISSISSIPPI RIVER DISTILLING COMPANY LLC,80238,,112.5,4.5
INV-52992100113,2022-11-17,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,37991,2,22.42,0.1
INV-52989600008,2022-11-17,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,16562,12,441.0,9.0
INV-53315800006,2022-11-26,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PHILLIPS BEVERAGE,42984,18,229.5,31.5
INV-52993400100,2022-11-17,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,43336,12,163.08,9.0
INV-52989600049,2022-11-17,HY-VEE #3 / BDI / DES MOINES,50320,mccormick distilling co.,38169,24,305.76,18.0
INV-53049100120,2022-11-18,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,FIFTH GENERATION INC,38174,12,97.56,4.5
INV-53039000140,2022-11-18,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,BROWN FORMAN CORP.,74801,12,286.44,9.0
INV-52991600015,2022-11-17,HY-VEE FOOD STORE / CORALVILLE,52241,CAMPARI AMERICA,37988,3,67.5,5.25
INV-53118000143,2022-11-20,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,89447,24,288.0,24.0
INV-53322000106,2022-11-26,HY-VEE FOOD STORE / CORALVILLE,52241,LUXCO INC,62097,12,81.0,12.0
INV-53319000138,2022-11-26,HY-VEE #7 / CEDAR RAPIDS,52411,proximo,87510,,49.5,1.5
INV-53084000122,2022-11-19,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,CHATHAM IMPORTS INC,19880,6,220.5,4.5
INV-53099300033,2022-11-19,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,25608,6,125.94,10.5
INV-53102900038,2022-11-19,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,WILLIAM GRANT & SONS INC,6998,,101.28,10.5
INV-53121300141,2022-11-20,HY-VEE FOOD STORE / CEDAR FALLS,50613,campari america,64147,12,270.0,9.0
INV-53099300071,2022-11-19,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,37993,3,11.43,0.6
INV-53084000201,2022-11-19,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,OLE SMOKY DISTILLERY LLC,76412,,26.26,0.1
INV-53102900014,2022-11-19,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,68036,12,296.88,9.0
INV-53319000022,2022-11-26,HY-VEE #7 / CEDAR RAPIDS,52411,intercontinental packaging company/prestige beverage group,15517,12,315.0,8.4
INV-53118000120,2022-11-20,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,86112,36,126.0,36.0
INV-53315800229,2022-11-26,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,INTERCONTINENTAL PACKAGING COMPANY/PRESTIGE BEVERAGE GROUP,75210,6,90.0,4.5
INV-53118000053,2022-11-20,HY-VEE #3 / BDI / DES MOINES,50320,fifth generation inc,38178,360,10260.0,630.0
INV-53118000032,2022-11-20,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,28867,36,863.64,36.0
INV-53099300031,2022-11-19,HY-VEE #7 / CEDAR RAPIDS,52411,laird & company,23828,6,74.28,10.5
INV-53118000127,2022-11-20,HY-VEE #3 / BDI / DES MOINES,50320,proximo,87511,6,166.5,6.0
INV-53102900094,2022-11-19,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,REMY COINTREAU USA INC,49185,2,40.32,0.75
INV-53319000058,2022-11-26,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,35626,3,29.25,2.25
INV-53084000021,2022-11-19,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,101787,12,324.0,21.0
INV-53081000096,2022-11-19,HY-VEE FOOD STORE / CORALVILLE,52241,LUXCO INC,86251,12,43.56,12.0
INV-53119200025,2022-11-20,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PERNOD RICARD USA,67524,4,50.96,1.5
INV-53084000049,2022-11-19,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SAZERAC COMPANY  INC,64904,12,276.0,21.0
INV-53110900051,2022-11-19,HY-VEE #4 / WDM,50265,HEAVEN HILL BRANDS,10550,,94.2,9.0
INV-53102900043,2022-11-19,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,82600,6,105.78,10.5
INV-53425600018,2022-12-01,HY-VEE FOOD STORE / CORALVILLE,52241,MCCORMICK DISTILLING CO.,65204,,12.9,0.1
INV-53102900090,2022-11-19,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,MHW LTD,87481,1,48.75,0.75
INV-53426100011,2022-12-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PARK STREET IMPORTS,101940,6,135.0,4.5
INV-53110900013,2022-11-19,HY-VEE #4 / WDM,50265,PROXIMO,58838,6,78.66,10.5
INV-53119200023,2022-11-20,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,E & J GALLO WINERY,36965,20,166.2,1.0
INV-53425600078,2022-12-01,HY-VEE FOOD STORE / CORALVILLE,52241,HEAVEN HILL BRANDS,11788,6,94.08,10.5
INV-53426200042,2022-12-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DV SPIRITS LLC,87769,2,27.0,0.1
INV-53084000172,2022-11-19,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,37997,12,166.56,12.0
INV-53084000227,2022-11-19,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,37991,2,22.42,0.1
INV-53431200013,2022-12-01,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,19500,,45.0,0.75
INV-53431100085,2022-12-01,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,43285,12,163.08,9.0
INV-53362300001,2022-11-28,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,10626,4,48.0,3.0
INV-53360400053,2022-11-28,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,36307,12,73.8,12.0
INV-53425900029,2022-12-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,MHW LTD,26101,6,157.5,4.2
INV-53121300164,2022-11-20,HY-VEE FOOD STORE / CEDAR FALLS,50613,saloon spirits llc,72395,2,43.02,1.5
INV-53118000046,2022-11-20,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,37998,6,132.78,10.5
INV-53099400003,2022-11-19,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,11347,,29.85,3.0
INV-53425800034,2022-12-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PERNOD RICARD USA,34006,24,359.76,18.0
INV-53362300074,2022-11-28,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,28778,1,24.75,0.75
INV-53431100030,2022-12-01,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,17090,3,110.22,2.25
INV-53099300143,2022-11-19,HY-VEE #7 / CEDAR RAPIDS,52411,proximo,89196,,207.0,9.0
INV-53118000004,2022-11-20,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,11298,6,305.94,10.5
INV-53121300067,2022-11-20,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,30318,6,107.94,10.5
INV-53426200019,2022-12-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,37994,5,37.45,1.87
INV-53426200016,2022-12-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,89177,,89.98,1.5
INV-53362300219,2022-11-28,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,82857,4,47.24,4.0
INV-53131100015,2022-11-20,HY-VEE FOOD STORE #1 / MASON CITY,50401,MCCORMICK DISTILLING CO.,36901,1,7.05,0.05
INV-53431100145,2022-12-01,HY-VEE #7 / CEDAR RAPIDS,52411,ole smoky distillery llc,86843,6,99.0,4.5
INV-53362300025,2022-11-28,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,16416,12,243.0,9.0
INV-53425600020,2022-12-01,HY-VEE FOOD STORE / CORALVILLE,52241,E & J GALLO WINERY,52591,2,16.62,0.1
INV-53131100050,2022-11-20,HY-VEE FOOD STORE #1 / MASON CITY,50401,WILLIAM GRANT & SONS INC,5006,,128.25,2.25
INV-53425900051,2022-12-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,43296,12,162.0,9.0
INV-53431200004,2022-12-01,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,38577,3,38.25,2.25
INV-53426100007,2022-12-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,WESTERN SPIRITS BEVERAGE,101800,6,103.5,5.1
INV-53362100003,2022-11-28,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,922044,1,37.5,0.75
INV-53425800020,2022-12-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,MCCORMICK DISTILLING CO.,36886,24,125.76,18.0
INV-53466400164,2022-12-02,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,80574,,13.56,1.5
INV-53135700007,2022-11-20,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,87937,72,846.0,72.0
INV-53466400074,2022-12-02,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LAIRD & COMPANY,23826,12,71.88,9.0
INV-53438700088,2022-12-01,HY-VEE #4 / WDM,50265,SUGARLANDS DISTILLING COMPANY LLC,77231,,115.2,4.5
INV-53464600044,2022-12-02,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,BROWN FORMAN CORP.,87849,6,238.5,4.5
INV-53466400217,2022-12-02,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PERNOD RICARD USA,5842,2,92.94,1.5
INV-53210200007,2022-11-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,902219,6,295.2,4.5
INV-53466400125,2022-12-02,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,27783,12,198.0,9.0
INV-53466400018,2022-12-02,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BACARDI USA INC,34422,6,171.0,6.0
INV-53209700030,2022-11-24,HY-VEE FOOD STORE / CORALVILLE,52241,CEDAR RIDGE VINEYARDS LL,26712,6,372.06,4.5
INV-53207200123,2022-11-24,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,75165,12,204.0,9.0
