Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-44095900161,2022-01-28,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,15982,2,62.98,1.5
INV-43720600002,2022-01-15,HY-VEE #4 / WDM,50265,BACARDI USA INC,43126,12,148.68,9.0
INV-44150900204,2022-01-29,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,10807,12,298.68,9.0
INV-43833900080,2022-01-20,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,21480,12,114.84,9.0
INV-43737500063,2022-01-15,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,BACARDI USA INC,64336,3,87.75,2.25
INV-44095900097,2022-01-28,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,88548,168,3402.0,126.0
INV-43826800066,2022-01-20,HY-VEE #3 / BDI / DES MOINES,50320,rumcoqui and co,80447,6,103.5,4.5
INV-44043300028,2022-01-27,HY-VEE #7 / CEDAR RAPIDS,52411,brown forman corp.,26589,1,52.86,1.75
INV-44150900172,2022-01-29,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,J & D WINES INC / WOOLER BRANDS,86503,12,246.48,9.0
INV-44170000027,2022-01-30,HY-VEE #3 / BDI / DES MOINES,50320,heaven hill brands,11777,60,597.0,60.0
INV-44039100074,2022-01-27,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,73456,12,117.0,9.0
INV-44095900143,2022-01-28,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BACARDI USA INC,43124,4,27.0,1.5
INV-44150900201,2022-01-29,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SAZERAC COMPANY  INC,86887,12,233.52,12.0
INV-43833900022,2022-01-20,HY-VEE #4 / WDM,50265,E & J GALLO WINERY,40192,3,15.75,1.12
INV-43828900039,2022-01-20,HY-VEE FOOD STORE / CORALVILLE,52241,LUXCO INC,36308,6,64.56,10.5
INV-44139800095,2022-01-29,HY-VEE FOOD STORE / CORALVILLE,52241,CAMPARI AMERICA,65126,36,1215.0,27.0
INV-43923400104,2022-01-22,HY-VEE #7 / CEDAR RAPIDS,52411,sugarlands distilling company llc,80518,6,121.68,4.5
INV-43931300045,2022-01-22,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SAZERAC COMPANY  INC,69618,12,155.88,9.0
INV-44095900006,2022-01-28,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,35317,60,357.6,60.0
INV-44150900108,2022-01-29,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PROXIMO,59193,,78.66,10.5
INV-43876500118,2022-01-21,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,WILLIAM GRANT & SONS INC,45884,3,21.6,1.12
INV-43876500054,2022-01-21,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,30058,,58.5,10.5
INV-43829200017,2022-01-20,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PERNOD RICARD USA,34008,,179.94,10.5
INV-44095900172,2022-01-28,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,WILLIAM GRANT & SONS INC,5106,3,47.25,2.25
INV-43828900004,2022-01-20,HY-VEE FOOD STORE / CORALVILLE,52241,BROWN FORMAN CORP.,26823,48,304.8,9.6
INV-44184100002,2022-01-30,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,16096,1,15.0,0.75
INV-44040800050,2022-01-27,HY-VEE FOOD STORE / CORALVILLE,52241,JDSO INC / RED BOOT DISTILLERY,36875,6,65.52,10.5
INV-44186800073,2022-01-30,HY-VEE FOOD STORE #1 / MASON CITY,50401,CEDAR RIDGE VINEYARDS LL,25459,3,112.5,2.25
INV-44170000128,2022-01-30,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,82787,12,141.72,12.0
INV-44150900159,2022-01-29,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,47785,6,94.5,2.25
INV-43911000001,2022-01-22,HY-VEE #3 / BDI / DES MOINES,50320,brown forman corp.,22215,24,809.76,18.0
INV-43830400060,2022-01-20,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,54436,3,20.25,2.25
INV-44170000172,2022-01-30,HY-VEE #3 / BDI / DES MOINES,50320,four roses distillery,18347,,447.8,0.5
INV-43876500173,2022-01-21,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PROXIMO,89206,4,95.88,3.0
INV-43923400074,2022-01-22,HY-VEE #7 / CEDAR RAPIDS,52411,serralles usa,43426,,33.75,2.25
INV-44170000103,2022-01-30,HY-VEE #3 / BDI / DES MOINES,50320,e & j gallo winery,66518,12,153.0,9.0
INV-43833900006,2022-01-20,HY-VEE #4 / WDM,50265,BACARDI USA INC,34433,12,270.0,9.0
INV-43923400099,2022-01-22,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,73702,3,38.25,2.25
INV-44186800024,2022-01-30,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,11347,,19.9,2.0
INV-43871600021,2022-01-21,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,HEAVEN HILL BRANDS,17958,6,148.5,10.5
INV-43913600081,2022-01-22,HY-VEE FOOD STORE / CORALVILLE,52241,SAZERAC COMPANY  INC,69636,12,155.88,9.0
INV-44170000041,2022-01-30,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,30527,,76.2,12.0
INV-44170000098,2022-01-30,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,64914,12,296.88,9.0
INV-43913600005,2022-01-22,HY-VEE FOOD STORE / CORALVILLE,52241,PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO,75224,1,7.26,0.05
INV-44143500021,2022-01-29,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,38008,42,929.46,73.5
INV-44136300030,2022-01-29,HY-VEE #4 / WDM,50265,E & J GALLO WINERY,52582,4,43.44,3.0
INV-44134400007,2022-01-29,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,88147,12,126.36,12.0
INV-43833900017,2022-01-20,HY-VEE #4 / WDM,50265,BACARDI USA INC,43124,4,27.0,1.5
INV-43829300038,2022-01-20,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PROXIMO,87509,2,26.88,0.75
INV-43826800073,2022-01-20,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,86103,48,168.0,48.0
INV-44175500107,2022-01-30,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,45245,4,24.0,3.0
INV-44186800043,2022-01-30,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,28868,2,74.98,3.5
INV-44175400002,2022-01-30,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,4773,2,49.48,1.5
