Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-46032800075,2022-04-02,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,64904,6,138.0,10.5
INV-45625400042,2022-03-19,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,11297,36,1047.24,36.0
INV-45983500065,2022-04-01,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PROXIMO,46504,12,188.16,9.0
INV-45575800008,2022-03-18,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,SAZERAC COMPANY  INC,11348,6,94.08,10.5
INV-45941200069,2022-03-31,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,37994,24,171.12,9.0
INV-46032900012,2022-04-02,HY-VEE #7 / CEDAR RAPIDS,52411,bacardi usa inc,4573,6,112.5,4.5
INV-45940800018,2022-03-31,HY-VEE FOOD STORE / CORALVILLE,52241,"JOHN ERNEST DISTILLERY, INC.",65750,72,719.28,72.0
INV-45941200015,2022-03-31,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,38519,6,171.0,10.5
INV-45939200115,2022-03-31,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,8827,12,110.52,12.0
INV-45749500043,2022-03-24,HY-VEE #7 / CEDAR RAPIDS,52411,western spirits beverage,26362,6,90.0,4.5
INV-45782700109,2022-03-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,CHATHAM IMPORTS INC,27060,6,216.0,4.5
INV-45943100060,2022-03-31,HY-VEE #7 / CEDAR RAPIDS,52411,campari america,40465,3,33.75,2.25
INV-45781600010,2022-03-24,HY-VEE FOOD STORE / CORALVILLE,52241,LUXCO INC,905606,4,32.28,3.0
INV-45943100067,2022-03-31,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,43028,6,103.98,10.5
INV-45672600018,2022-03-20,HY-VEE FOOD STORE #1 / MASON CITY,50401,JIM BEAM BRANDS,73526,2,19.5,1.5
INV-45749500086,2022-03-24,HY-VEE #7 / CEDAR RAPIDS,52411,castle brands,42566,3,42.81,2.25
INV-45665100134,2022-03-20,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,83906,12,66.12,9.0
INV-45760800131,2022-03-24,HY-VEE #4 / WDM,50265,JIM BEAM BRANDS,82636,4,39.0,3.0
INV-45657700011,2022-03-20,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,17086,24,594.0,18.0
INV-45672500031,2022-03-20,HY-VEE FOOD STORE #1 / MASON CITY,50401,FIFTH GENERATION INC,38177,36,684.36,36.0
INV-45665100090,2022-03-20,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,64816,60,1221.6,45.0
INV-46067100003,2022-04-03,HY-VEE FOOD STORE / CEDAR FALLS,50613,bacardi usa inc,43121,1,8.31,0.05
INV-45746800023,2022-03-24,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,25607,24,288.0,24.0
INV-46048900099,2022-04-02,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PERNOD RICARD USA,34029,12,269.88,12.0
