Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-48746000040,2022-06-28,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,35699,12,126.0,9.0
INV-47954800212,2022-06-01,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PARK STREET IMPORTS,65426,3,63.45,2.25
INV-48216800001,2022-06-09,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,11788,30,470.4,52.5
INV-48295500042,2022-06-13,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,LAIRD & COMPANY,35926,12,60.72,9.0
INV-48216500004,2022-06-09,HY-VEE FOOD STORE #1 / MASON CITY,50401,PARK STREET IMPORTS,65426,12,253.8,9.0
INV-47937500092,2022-06-01,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,JIM BEAM BRANDS,82847,4,47.24,4.0
INV-48746000144,2022-06-28,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PERNOD RICARD USA,37403,6,89.94,4.5
INV-48351600064,2022-06-15,HY-VEE #4 / WDM,50265,MCCORMICK DISTILLING CO.,65200,3,51.75,2.25
INV-47954800196,2022-06-01,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,18198,2,49.5,3.5
INV-47991000046,2022-06-02,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SUGARLANDS DISTILLING COMPANY LLC,977232,6,121.68,4.5
INV-48292400056,2022-06-13,HY-VEE #4 / WDM,50265,JIM BEAM BRANDS,82611,4,40.52,3.0
INV-48021000026,2022-06-03,HY-VEE FOOD STORE #1 / MASON CITY,50401,"MAST-JAGERMEISTER US, INC",65257,3,78.39,3.0
INV-47973300057,2022-06-02,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,69947,12,285.12,12.0
INV-47997300244,2022-06-03,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,82846,,121.56,9.0
INV-47991000128,2022-06-02,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PERNOD RICARD USA,34076,12,179.88,9.0
INV-48816700019,2022-06-30,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,69609,1,7.5,0.05
INV-48746000008,2022-06-28,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,84226,10,77.4,0.5
INV-48020500006,2022-06-03,HY-VEE FOOD STORE #1 / MASON CITY,50401,OLE SMOKY DISTILLERY LLC,86785,6,112.5,4.5
INV-48817600096,2022-06-30,HY-VEE #3 / BDI / DES MOINES,50320,phillips beverage,41694,24,270.0,24.0
INV-48796600020,2022-06-29,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,30318,6,99.0,10.5
INV-48778100036,2022-06-29,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,28868,6,224.94,10.5
INV-48216600036,2022-06-09,HY-VEE FOOD STORE #1 / MASON CITY,50401,PROXIMO,15776,2,43.5,1.5
INV-48216600123,2022-06-09,HY-VEE FOOD STORE #1 / MASON CITY,50401,"MAST-JAGERMEISTER US, INC",65259,2,16.9,0.04
INV-48096000012,2022-06-06,HY-VEE #4 / WDM,50265,BROWN FORMAN CORP.,27130,,202.44,4.5
INV-48834900011,2022-06-30,HY-VEE FOOD STORE #1 / MASON CITY,50401,PERNOD RICARD USA,36769,12,179.88,9.0
INV-48309900066,2022-06-14,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,LUXCO INC,36305,12,60.12,9.0
INV-48816900100,2022-06-30,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,36188,3,43.83,5.25
INV-47997300200,2022-06-03,HY-VEE FOOD STORE / CEDAR FALLS,50613,campari america,64121,,27.75,0.75
INV-48816900109,2022-06-30,HY-VEE FOOD STORE / CEDAR FALLS,50613,e & j gallo winery,37233,4,45.0,3.0
INV-48355400011,2022-06-15,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,E & J GALLO WINERY,31473,6,135.0,10.5
INV-48021000010,2022-06-03,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,37991,1,11.21,0.05
INV-48816800007,2022-06-30,HY-VEE FOOD STORE / CEDAR FALLS,50613,pernod ricard usa,5036,3,121.41,2.25
INV-48096000030,2022-06-06,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,10809,6,305.94,10.5
INV-48345600001,2022-06-15,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,77487,1920,13977.6,1920.0
INV-48369900020,2022-06-15,HY-VEE #7 / CEDAR RAPIDS,52411,intercontinental packaging company/prestige beverage group,15296,3,22.5,2.25
INV-48292400003,2022-06-13,HY-VEE #4 / WDM,50265,HEAVEN HILL BRANDS,17913,6,247.5,4.5
INV-48295200049,2022-06-13,HY-VEE FOOD STORE / CORALVILLE,52241,E & J GALLO WINERY,31493,12,162.0,9.0
INV-48309800004,2022-06-14,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,CAMPARI AMERICA,22175,6,189.0,4.5
INV-48292400109,2022-06-13,HY-VEE #4 / WDM,50265,AMERICAN SPIRITS EXCHANGE,76501,12,135.0,9.0
INV-48295200037,2022-06-13,HY-VEE FOOD STORE / CORALVILLE,52241,LUXCO INC,55088,6,101.64,10.5
INV-48316800114,2022-06-14,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,JIM BEAM BRANDS,27410,12,198.0,9.0
INV-48351600053,2022-06-15,HY-VEE #4 / WDM,50265,PERNOD RICARD USA,34006,12,179.88,9.0
INV-48070300015,2022-06-06,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,28233,60,1485.0,60.0
INV-48351600049,2022-06-15,HY-VEE #4 / WDM,50265,STOLI GROUP,34786,4,59.96,3.0
INV-48316800116,2022-06-14,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,REMY COINTREAU USA INC,28905,6,179.82,4.5
INV-48346000006,2022-06-15,HY-VEE #3 / BDI / DES MOINES,50320,pernod ricard usa,37403,6,89.94,4.5
INV-48295500037,2022-06-13,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,FIFTH GENERATION INC,38178,60,1710.0,105.0
INV-48127700076,2022-06-07,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,89177,,513.0,9.0
INV-48069400067,2022-06-06,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,INTERCONTINENTAL PACKAGING COMPANY/PRESTIGE BEVERAGE GROUP,75198,6,90.0,4.5
INV-48316800082,2022-06-14,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,64865,12,161.64,9.0
INV-48191100076,2022-06-09,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,42599,6,165.06,4.5
INV-48195100153,2022-06-09,HY-VEE FOOD STORE / CEDAR FALLS,50613,"worldwide libations, llc",51326,6,131.4,4.5
INV-48115300186,2022-06-07,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,84170,3,33.75,2.25
INV-48292400084,2022-06-13,HY-VEE #4 / WDM,50265,PERNOD RICARD USA,4718,2,110.5,3.5
INV-48195100019,2022-06-09,HY-VEE FOOD STORE / CEDAR FALLS,50613,park street imports,17050,4,120.0,3.0
INV-48099600124,2022-06-06,HY-VEE #7 / CEDAR RAPIDS,52411,intercontinental packaging company/prestige beverage group,75198,3,45.0,2.25
INV-48115300119,2022-06-07,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,10788,1,14.93,0.05
INV-48488000012,2022-06-20,HY-VEE #4 / WDM,50265,WILLIAM GRANT & SONS INC,5157,1,90.0,0.75
INV-48414900022,2022-06-16,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,21598,6,83.16,10.5
INV-48096000082,2022-06-06,HY-VEE #4 / WDM,50265,FOUR ROSES DISTILLERY,18352,12,225.0,9.0
INV-48400100142,2022-06-16,HY-VEE FOOD STORE / CEDAR FALLS,50613,proximo,46506,6,146.82,10.5
INV-48161000061,2022-06-08,HY-VEE FOOD STORE / CORALVILLE,52241,SAZERAC COMPANY  INC,23708,6,66.0,10.5
INV-48400100011,2022-06-16,HY-VEE FOOD STORE / CEDAR FALLS,50613,heaven hill brands,11786,12,94.2,9.0
