Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-44623800009,2022-02-13,HY-VEE FOOD STORE #1 / MASON CITY,50401,PROXIMO,59159,1,15.06,1.75
INV-44754200207,2022-02-18,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,E & J GALLO WINERY,73055,3,60.75,2.25
INV-44577900073,2022-02-12,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,87280,6,241.56,4.5
INV-44847700019,2022-02-20,HY-VEE FOOD STORE #1 / MASON CITY,50401,JIM BEAM BRANDS,73533,3,48.03,2.25
INV-44575400010,2022-02-12,HY-VEE #7 / CEDAR RAPIDS,52411,phillips beverage,14523,3,40.59,2.25
INV-44623700076,2022-02-13,HY-VEE FOOD STORE #1 / MASON CITY,50401,CAMPARI AMERICA,43801,2,40.5,1.5
INV-44574100073,2022-02-12,HY-VEE #4 / WDM,50265,JIM BEAM BRANDS,26370,,66.0,3.0
INV-44527400036,2022-02-11,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PHILLIPS BEVERAGE,902247,12,113.4,9.0
INV-44623700106,2022-02-13,HY-VEE FOOD STORE #1 / MASON CITY,50401,REMY COINTREAU USA INC,49189,6,66.72,1.2
INV-44622700002,2022-02-13,HY-VEE FOOD STORE #1 / MASON CITY,50401,PHILLIPS BEVERAGE,37663,,113.4,9.0
INV-44623700099,2022-02-13,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,41840,1,6.75,0.75
INV-44622700001,2022-02-13,HY-VEE FOOD STORE #1 / MASON CITY,50401,PERNOD RICARD USA,34076,12,179.88,9.0
INV-44599100184,2022-02-13,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,BACARDI USA INC,43120,12,270.0,21.0
INV-44517000031,2022-02-11,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,30316,3,22.5,2.25
INV-44479000081,2022-02-10,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,INFINIUM SPIRITS,87026,,832.5,22.5
INV-44912500149,2022-02-24,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,82637,180,2125.8,180.0
INV-44622400002,2022-02-13,HY-VEE FOOD STORE #1 / MASON CITY,50401,PERNOD RICARD USA,34004,96,719.04,36.0
INV-44575400003,2022-02-12,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,5346,3,60.75,2.25
INV-44577900058,2022-02-12,HY-VEE FOOD STORE / CORALVILLE,52241,PHILLIPS BEVERAGE,37336,12,126.0,9.0
INV-44527400021,2022-02-11,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,E & J GALLO WINERY,43641,3,90.0,2.25
INV-44623600050,2022-02-13,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,57168,6,58.5,10.5
INV-44575400040,2022-02-12,HY-VEE #7 / CEDAR RAPIDS,52411,stoli group,34870,12,179.88,9.0
INV-44612200006,2022-02-13,HY-VEE FOOD STORE / CEDAR FALLS,50613,campari america,10890,3,47.34,2.25
INV-44606500140,2022-02-13,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,89177,,1026.0,18.0
INV-44622400020,2022-02-13,HY-VEE FOOD STORE #1 / MASON CITY,50401,BACARDI USA INC,43138,66,1485.0,115.5
INV-44836900125,2022-02-20,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,69711,2,25.98,1.5
INV-44967600114,2022-02-25,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PERNOD RICARD USA,35354,12,179.88,9.0
INV-44923700084,2022-02-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,MISSISSIPPI RIVER DISTIL,28132,,144.0,4.5
INV-44606500015,2022-02-13,HY-VEE #3 / BDI / DES MOINES,50320,cedar ridge vineyards ll,27014,6,177.06,4.5
INV-44915400043,2022-02-24,HY-VEE #4 / WDM,50265,JDSO INC / RED BOOT DISTILLERY,36989,12,62.88,9.0
INV-44612200088,2022-02-13,HY-VEE FOOD STORE / CEDAR FALLS,50613,cedar ridge vineyards ll,37125,3,56.25,3.0
INV-44919800048,2022-02-24,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,43027,3,33.75,3.0
INV-44923200058,2022-02-24,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,5326,12,386.88,9.0
INV-44958000002,2022-02-25,HY-VEE #3 / BDI / DES MOINES,50320,pernod ricard usa,15648,12,305.88,9.0
INV-44577900061,2022-02-12,HY-VEE FOOD STORE / CORALVILLE,52241,HEAVEN HILL BRANDS,35418,6,76.5,10.5
INV-44520400067,2022-02-11,HY-VEE #4 / WDM,50265,BACARDI USA INC,4866,12,243.0,9.0
INV-44912500125,2022-02-24,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,84367,,90.0,12.0
INV-44833800043,2022-02-20,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,25607,48,576.0,48.0
INV-44705800156,2022-02-17,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,89387,,7755.0,660.0
INV-44919800074,2022-02-24,HY-VEE #7 / CEDAR RAPIDS,52411,sugarlands distilling company llc,77330,6,121.68,4.5
INV-44923700069,2022-02-24,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PERNOD RICARD USA,37403,6,89.94,4.5
INV-44967600094,2022-02-25,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PROXIMO,14192,12,243.0,9.0
INV-44919600027,2022-02-24,HY-VEE #7 / CEDAR RAPIDS,52411,stoli group,19250,6,225.3,4.5
