Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-48703600078,2022-06-27,HY-VEE FOOD STORE / CORALVILLE,52241,PERNOD RICARD USA,34029,12,269.88,12.0
INV-48692400017,2022-06-27,HY-VEE #7 / CEDAR RAPIDS,52411,e & j gallo winery,39422,,166.08,1.2
INV-48603500007,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,CAMPARI AMERICA,87250,6,175.5,4.5
INV-48690400134,2022-06-27,HY-VEE #4 / WDM,50265,LUXCO INC,79966,3,21.33,2.25
INV-48606600052,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,"BLUE OX SPIRITS, INC.",36875,12,131.04,21.0
INV-48704000048,2022-06-27,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,16416,12,243.0,9.0
INV-48606000183,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,903486,12,172.32,21.0
INV-48606600133,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,OLE SMOKY DISTILLERY LLC,86749,6,112.5,4.5
INV-48629900013,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,10807,24,629.76,18.0
INV-48630000030,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,E & J GALLO WINERY,80486,1,16.5,0.75
INV-48606600085,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,LUXCO INC,45275,12,72.0,9.0
INV-48606000124,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,ole smoky distillery llc,86843,6,99.0,4.5
INV-48606000087,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,pernod ricard usa,34117,24,539.76,24.0
INV-48614900134,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,53206,3,31.11,2.25
INV-48630000069,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,30528,1,10.76,1.75
INV-48603500115,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,HEAVEN HILL BRANDS,40053,12,153.0,9.0
INV-48606000083,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,heaven hill brands,52319,12,128.4,12.0
INV-48630000062,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,29119,1,21.75,0.75
INV-48603500141,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,E & J GALLO WINERY,39492,12,135.0,9.0
INV-48603500014,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,28890,12,234.24,9.0
INV-48630000131,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,37993,4,15.24,0.8
INV-48689100115,2022-06-27,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,77699,24,333.12,24.0
INV-48603500125,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SALOON SPIRITS LLC,86602,6,129.06,4.5
INV-48606000055,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,e & j gallo winery,36969,12,135.0,9.0
INV-48603500137,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PROXIMO,59182,6,90.36,10.5
INV-48614900142,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,proximo,58872,6,78.66,10.5
INV-48614700017,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,ole smoky distillery llc,80371,1,13.13,0.05
INV-48614900203,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,bacardi usa inc,89626,,87.0,1.5
INV-48703600089,2022-06-27,HY-VEE FOOD STORE / CORALVILLE,52241,CEDAR RIDGE VINEYARDS LL,37512,6,112.98,4.5
INV-48690400040,2022-06-27,HY-VEE #4 / WDM,50265,BACARDI USA INC,43128,6,135.0,10.5
INV-48614900112,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,43285,12,163.08,9.0
INV-48689100061,2022-06-27,HY-VEE #3 / BDI / DES MOINES,50320,phillips beverage,41705,12,135.0,12.0
INV-48593700054,2022-06-22,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,CAMPARI AMERICA,64149,,166.5,6.0
INV-48614700016,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,78292,1,11.21,0.05
INV-48629900002,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,77955,12,134.52,0.6
INV-48606600001,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,WILLIAM GRANT & SONS INC,4356,3,157.5,2.25
INV-48690400138,2022-06-27,HY-VEE #4 / WDM,50265,SALOON SPIRITS LLC,86600,6,129.06,4.5
INV-48606600132,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,OLE SMOKY DISTILLERY LLC,86739,8,105.04,0.4
INV-48603500004,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,5596,12,360.0,9.0
INV-48692400032,2022-06-27,HY-VEE #7 / CEDAR RAPIDS,52411,proximo,59193,,78.66,10.5
INV-48704000102,2022-06-27,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,64865,12,161.64,9.0
INV-48704000063,2022-06-27,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,INTERCONTINENTAL PACKAGING COMPANY/PRESTIGE BEVERAGE GROUP,65144,6,99.0,4.5
INV-48614900101,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,pernod ricard usa,42714,,14.98,0.75
INV-48629900031,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,PHILLIPS BEVERAGE,41692,6,103.5,10.5
INV-48689100019,2022-06-27,HY-VEE #3 / BDI / DES MOINES,50320,dehner distillery,23981,24,158.16,24.0
INV-48630000050,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,89177,,42.75,0.75
INV-48603500066,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,MCCORMICK DISTILLING CO.,24728,12,147.6,21.0
INV-48692500119,2022-06-27,HY-VEE #7 / CEDAR RAPIDS,52411,proximo,89206,2,47.94,1.5
INV-48630000124,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,36306,4,20.04,3.0
INV-48606000027,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,29287,12,70.56,12.0
INV-48603500079,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PERNOD RICARD USA,19009,6,166.44,4.5
INV-48606600055,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,E & J GALLO WINERY,36969,12,135.0,9.0
INV-48614900127,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,heaven hill brands,52318,2,36.0,3.5
INV-48614900163,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,66936,4,66.12,3.0
INV-48606000160,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,34422,48,1368.0,48.0
INV-48603500045,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,89787,12,213.0,12.0
INV-48603500136,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,INFINIUM SPIRITS,26781,6,278.94,4.5
INV-48603500090,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,CONSTELLATION BRANDS INC,34821,6,120.6,10.5
INV-48603500038,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,24457,12,129.12,12.0
INV-48605900001,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,edrington group usa llc,5247,6,248.04,4.5
INV-48703600101,2022-06-27,HY-VEE FOOD STORE / CORALVILLE,52241,LUXCO INC,35699,12,126.0,9.0
