Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-46149600036,2022-04-07,HY-VEE #7 / CEDAR RAPIDS,52411,bacardi usa inc,28236,3,63.0,2.25
INV-46723900030,2022-04-24,HY-VEE FOOD STORE #1 / MASON CITY,50401,MCCORMICK DISTILLING CO.,24706,1,6.14,0.75
INV-46617100236,2022-04-22,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,E & J GALLO WINERY,52582,3,32.58,2.25
INV-46153200035,2022-04-07,HY-VEE #4 / WDM,50265,PROXIMO,58838,180,2359.8,315.0
INV-46149600115,2022-04-07,HY-VEE #7 / CEDAR RAPIDS,52411,brown forman corp.,64676,6,180.0,4.5
INV-46706900013,2022-04-24,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PHILLIPS BEVERAGE,37348,6,68.4,10.5
INV-46149600158,2022-04-07,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,88548,12,243.0,9.0
INV-46694900042,2022-04-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PIEDMONT DISTILLERS INC,76036,6,103.5,4.5
INV-46706200143,2022-04-24,HY-VEE #3 / BDI / DES MOINES,50320,ole smoky distillery llc,86839,12,198.0,9.0
INV-46723800022,2022-04-24,HY-VEE FOOD STORE #1 / MASON CITY,50401,PROXIMO,59154,6,90.36,10.5
INV-46147900001,2022-04-07,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,64858,,116.1,0.15
INV-46800200111,2022-04-28,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,77632,,37.14,2.25
INV-46930400192,2022-05-01,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,77740,2,24.76,1.5
INV-46797600052,2022-04-28,HY-VEE #3 / BDI / DES MOINES,50320,heaven hill brands,52319,12,128.4,12.0
INV-46711400154,2022-04-24,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,73200,,163.08,9.0
INV-46706200188,2022-04-24,HY-VEE #3 / BDI / DES MOINES,50320,brown forman corp.,86691,36,621.0,1.8
INV-46671500065,2022-04-23,HY-VEE FOOD STORE / CORALVILLE,52241,PHILLIPS BEVERAGE,37348,6,68.4,10.5
INV-46947700072,2022-05-01,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,40327,2,25.5,1.5
INV-46820600080,2022-04-28,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,10008,6,94.5,10.5
INV-46947600019,2022-05-01,HY-VEE FOOD STORE #1 / MASON CITY,50401,PHILLIPS BEVERAGE,37665,6,109.98,10.5
INV-46923500075,2022-05-01,HY-VEE #3 / BDI / DES MOINES,50320,pernod ricard usa,34029,60,1349.4,60.0
INV-46924400003,2022-05-01,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,JIM BEAM BRANDS,19068,6,193.5,10.5
INV-46923500093,2022-05-01,HY-VEE #3 / BDI / DES MOINES,50320,phillips beverage,45419,,80.16,12.0
INV-46711400194,2022-04-24,HY-VEE FOOD STORE / CEDAR FALLS,50613,campari america,89286,2,45.0,1.5
INV-46694900032,2022-04-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,89837,,270.0,12.0
