Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-50731600056,2022-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,LUXCO INC,21206,12,162.0,9.0
INV-50728500113,2022-09-01,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,87485,60,2789.4,45.0
INV-50628000046,2022-08-27,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,MCCORMICK DISTILLING CO.,36887,12,74.4,12.0
INV-50731600045,2022-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PROXIMO,58838,12,157.32,21.0
INV-50628000099,2022-08-27,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,CEDAR RIDGE VINEYARDS LL,26712,6,372.06,4.5
INV-50628000140,2022-08-27,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,38844,2,12.9,0.1
INV-50651900241,2022-08-28,HY-VEE FOOD STORE / CEDAR FALLS,50613,piedmont distillers inc,76033,6,103.5,4.5
INV-50731500001,2022-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,BACARDI USA INC,34425,6,238.5,10.5
INV-50577300212,2022-08-26,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,86559,3,38.25,2.25
INV-50628000164,2022-08-27,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,LUXCO INC,81204,4,13.68,1.5
INV-50660200205,2022-08-28,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,10789,1,7.5,0.2
INV-50643000058,2022-08-28,HY-VEE #3 / BDI / DES MOINES,50320,jem beverage company / western son,39839,12,162.24,9.0
INV-50730700007,2022-09-01,HY-VEE FOOD STORE / CORALVILLE,52241,JIM BEAM BRANDS,88205,4,102.0,3.0
INV-50128400017,2022-08-11,HY-VEE #3 / BDI / DES MOINES,50320,brown forman corp.,26828,6,285.48,10.5
INV-50128400152,2022-08-11,HY-VEE #3 / BDI / DES MOINES,50320,pernod ricard usa,89221,12,350.64,9.0
INV-50126400055,2022-08-11,HY-VEE FOOD STORE / CORALVILLE,52241,CONSTELLATION BRANDS INC,34820,12,144.0,9.0
INV-50050300103,2022-08-07,HY-VEE FOOD STORE / CEDAR FALLS,50613,bacardi usa inc,34425,3,119.25,5.25
INV-50731500012,2022-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,63345,,117.0,4.5
INV-50651900145,2022-08-28,HY-VEE FOOD STORE / CEDAR FALLS,50613,jem beverage company / western son,39825,2,27.04,1.5
INV-50074400014,2022-08-07,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,11296,72,1889.28,54.0
INV-50731600001,2022-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,LUXCO INC,86251,12,43.56,12.0
INV-50128400131,2022-08-11,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,86390,12,38.4,12.0
INV-50142400102,2022-08-11,HY-VEE #4 / WDM,50265,HEAVEN HILL BRANDS,39322,4,51.0,3.0
INV-50074300007,2022-08-07,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,101512,3,232.2,0.15
INV-50731600014,2022-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,MCCORMICK DISTILLING CO.,41019,,152.88,9.0
INV-50128400059,2022-08-11,HY-VEE #3 / BDI / DES MOINES,50320,heaven hill brands,40327,36,459.0,27.0
INV-50731600069,2022-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,INTERCONTINENTAL PACKAGING COMPANY/PRESTIGE BEVERAGE GROUP,15246,12,90.0,9.0
INV-50660100004,2022-08-28,HY-VEE FOOD STORE #1 / MASON CITY,50401,FIFTH GENERATION INC,38194,15,288.0,0.75
INV-50142400045,2022-08-11,HY-VEE #4 / WDM,50265,MHW LTD,80015,,94.44,4.5
INV-50126900052,2022-08-11,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PROXIMO,58925,6,78.66,10.5
INV-50126900022,2022-08-11,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,29118,6,150.06,6.0
INV-50128400033,2022-08-11,HY-VEE #3 / BDI / DES MOINES,50320,revelton distilling company,31985,6,135.0,4.5
INV-50069400141,2022-08-07,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,77900,12,148.56,9.0
INV-50742700010,2022-09-01,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,8827,3,27.63,3.0
INV-50728500121,2022-09-01,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,88147,12,126.36,12.0
INV-50728500125,2022-09-01,HY-VEE #3 / BDI / DES MOINES,50320,proximo,89198,6,202.5,10.5
INV-50643000146,2022-08-28,HY-VEE #3 / BDI / DES MOINES,50320,william grant & sons inc,88116,30,742.5,22.5
INV-50128400151,2022-08-11,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,89178,6,157.5,4.5
INV-50742700141,2022-09-01,HY-VEE #7 / CEDAR RAPIDS,52411,e & j gallo winery,80485,6,99.0,4.5
INV-50142400128,2022-08-11,HY-VEE #4 / WDM,50265,PROXIMO,15776,12,261.0,9.0
INV-50731600101,2022-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DV SPIRITS LLC,88123,12,207.0,9.0
INV-50142400145,2022-08-11,HY-VEE #4 / WDM,50265,JIM BEAM BRANDS,19498,6,180.0,4.5
INV-50819800254,2022-09-02,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BACARDI USA INC,43038,2,46.5,3.5
INV-50728500033,2022-09-01,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,28867,36,863.64,36.0
INV-50826100107,2022-09-03,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,68036,12,296.88,9.0
INV-50728400001,2022-09-01,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,16086,1,18.75,1.0
INV-50240800061,2022-08-14,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,43507,24,360.0,18.0
INV-50778300173,2022-09-02,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,68036,12,296.88,9.0
INV-50728500045,2022-09-01,HY-VEE #3 / BDI / DES MOINES,50320,heaven hill brands,36606,12,153.0,9.0
INV-50835000079,2022-09-03,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,E & J GALLO WINERY,66518,12,153.0,9.0
INV-50731600062,2022-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,LUXCO INC,18198,6,148.5,10.5
INV-50249100036,2022-08-14,HY-VEE FOOD STORE / CEDAR FALLS,50613,bacardi usa inc,16562,2,73.5,1.5
INV-50819800181,2022-09-02,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,43621,8,120.0,6.0
INV-50819800256,2022-09-02,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,HEAVEN HILL BRANDS,18095,2,33.0,1.5
INV-50249100177,2022-08-14,HY-VEE FOOD STORE / CEDAR FALLS,50613,"sovereign brands, llc",43735,1,32.24,0.75
INV-50249100003,2022-08-14,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,10625,3,36.0,2.25
INV-50218600126,2022-08-13,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PROXIMO,59182,6,90.36,10.5
INV-50240800113,2022-08-14,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,82849,6,105.78,10.5
INV-50218600132,2022-08-13,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PROXIMO,58899,6,78.66,10.5
INV-50728500146,2022-09-01,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,37997,24,333.12,24.0
INV-50189100043,2022-08-12,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,MHW LTD,77730,6,71.46,4.5
INV-50240800042,2022-08-14,HY-VEE #3 / BDI / DES MOINES,50320a,luxco inc,36034,12,126.0,9.0
INV-50731500008,2022-09-01,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,65013,120,774.0,6.0
INV-50249100297,2022-08-14,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,86582,2,75.0,1.5
INV-50835000125,2022-09-03,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,HEAVEN HILL BRANDS,11788,18,282.24,31.5
INV-50778300078,2022-09-02,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,WESTERN SPIRITS BEVERAGE,26164,2,15.0,0.1
INV-50835000083,2022-09-03,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SAZERAC COMPANY  INC,64904,6,138.0,10.5
INV-50778300005,2022-09-02,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,MOET HENNESSY USA,5103,6,247.44,4.5
INV-50189100096,2022-08-12,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,HEAVEN HILL BRANDS,11788,24,376.32,42.0
INV-50826100024,2022-09-03,HY-VEE #4 / WDM,50265,PERNOD RICARD USA,67524,1,12.74,0.37
INV-50229800055,2022-08-13,HY-VEE #4 / WDM,50265,WILLIAM GRANT & SONS INC,34753,6,98.76,4.5
INV-50218600110,2022-08-13,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PHILLIPS BEVERAGE,37338,6,103.5,10.5
INV-50233800086,2022-08-13,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,43336,12,163.08,9.0
INV-50826100023,2022-09-03,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,64864,24,192.0,9.0
INV-50249100116,2022-08-14,HY-VEE FOOD STORE / CEDAR FALLS,50613,pernod ricard usa,32233,2,5.98,0.4
INV-50819800015,2022-09-02,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,10807,36,944.64,27.0
INV-50742600012,2022-09-01,HY-VEE #7 / CEDAR RAPIDS,52411,park street imports,65426,60,1305.0,45.0
INV-50835000127,2022-09-03,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,INFINIUM SPIRITS,87026,,166.5,4.5
